nを切り捨てながらn2分の一にする	n //= n2
散布図を黄色くする	plt.scatter(データ列x, データ列y, color='y')
実数の整数部	math.modf(x)[1]
標準入力を得る	sys.stdin
実数の逆正弦	math.asin(x)
折れ線グラフを色付きの破線で描画する	plt.plot(データ列x, データ列y, linestyle='dashed', color='#800080')
折れ線グラフをイエローグリーン色で描画する	plt.plot(データ列x, データ列y, color='yellowgreen')
リストとリストについての散布図に黒い星マーカーを描画する	plt.plot(データ列x, データ列y, marker='*', c='k')
散布図をハニーデュー色で描画する	plt.scatter(データ列x, データ列y, color='honeydew')
シャピロ・ウィルク検定を行う	scipy.stats.shapiro(df['列A'])
ダークマゼンタ色のヒストグラムを描画する	plt.hist(データ列, color='darkmagenta')
横棒グラフをダークカーキ色で描画する	plt.barh(データ列x, データ列y, color='darkkhaki')
折れ線グラフをインディゴ色で描画する	plt.plot(データ列x, データ列y, color='indigo')
散布図のマーカーを大バツにする	plt.scatter(データ列x, データ列y, marker='X')
暗い赤色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkred')
ローングリーン色のヒストグラムを描画する	plt.hist(データ列, color='lawngreen')
クラス分類の予測精度を見る	混同行列 = sklearn.metrics.confusion_matrix(正解データ列, 予測データ列)
option: グラフの種類を点線に設定する	linestyle = 'dotted'
実数のn乗	pow(x, n)
データフレームの列のユニークな値	df[col].unique()
option: セパレータを使わない	sep = ''
散布図の色を耐火レンガにする	plt.scatter(データ列x, データ列y, color='firebrick')
ミディアムスプリンググリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumspringgreen')
イテラブルを累積したイテラブル	itertools.accumulate(iterable, operator.mul)
白いヒストグラムを描画する	plt.hist(データ列, color='w')
コーラル色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='coral')
option: マーカーの色をダークバイオレットにする	markerfacecolor = 'darkviolet'
棒グラフの色をライトグリーンにする	plt.bar(データ列x, データ列y, color='lightseagreen')
タプルの末尾	aTuple[-1]
option: グラフの色をゴールドに設定する	color = 'gold'
白色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='white')
オレンジ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='orange')
横棒グラフの色をミスティローズにする	plt.barh(データ列x, データ列y, color='mistyrose')
seabornのデフォルトを適用する	sns.set()
実数の正弦の逆数	math.asin(x)
日付時刻データの年数	aDatetime.year
データシリーズの空文字を欠損値に変換し、ドロップする	ds.replace('', np.nan).dropna()
丸マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='o')
リストとリストについて散布図を描画して、マーカーをダイアモンドに設定する	plt.plot(データ列x, データ列y, marker='D')
カウンタの全数	aCounter.total()
イテラブルを累加する	itertools.accumulate(iterable)
ライム色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lime')
nをn2で割った余りをnに代入する	n %= n2
実数の双曲線正接	math.tanh(x)
ナバホホワイト色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='navajowhite')
横棒グラフをパールバイオレットレッド色で描画する	plt.barh(データ列x, データ列y, color='palevioletred')
Pythonパスにディレクトリを追加する	sys.path.append(dir)
データフレームをある列によって降順に破壊的にソートする	df.sort_values(by='列A', ascending=False, inplace=True)
option: マーカーの色をミントクリームにする	markerfacecolor = 'mintcream'
option: ミスティローズ色を使う	color = 'mistyrose'
ヒストグラムをフクシア色で描画する	plt.hist(データ列, color='fuchsia')
文字列を白色でプリントする	print(f'\033[37m{value}\033[0m')
横棒グラフの色を赤にする	plt.barh(データ列x, データ列y, color='red')
横棒グラフの色をカデットブルーにする	plt.barh(データ列x, データ列y, color='cadetblue')
データフレームの選択したカラムがどの程度、分散しているか見る	df[['列A', '列B']].var()
赤いポイントマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='.', c='r')
日付時刻データををn分後に進める	aDatetime + datetime.timedelta(minutes=n)
散布図をシャルトリューズ色で描画する	plt.scatter(データ列x, データ列y, color='chartreuse')
リストとリストについて散布図を描画して、マーカーをポイントに設定する	plt.plot(データ列x, データ列y, marker='.')
整数乱数で要素を埋めた配列	np.random.randint(開始値, 終了値, N)
ミディアムパープル色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='mediumpurple')
ケンドール相関係数でデータフレームの相関行列を求める	df.corr(method='kendall')
数式を簡略にする	sympy.sympify(e)
データフレームの空文字を欠損値に変換し、ドロップする	df.replace('', np.nan).dropna()
option: 色の透明度を設定する	alpha = 0.5
文字列をマゼンタでプリントする	print(f'\033[35m{value}\033[0m')
データフレームのあるカラムの年	df['列A'].dt.year
現在が何秒か知る	datetime.date.today().second
データフレームの中の列を等量でn個にビン分割する	pd.qcut(df[col], n)
散布図をダークシアン色で描画する	plt.scatter(データ列x, データ列y, color='darkcyan')
横棒グラフをグリーン色で描画する	plt.barh(データ列x, データ列y, color='green')
棒グラフを青紫色で描画する	plt.bar(データ列x, データ列y, color='violet')
ヒストグラムをダークスラテグレー色で描画する	plt.hist(データ列, color='darkslategray')
ヒストグラムの色をミスティローズに設定する	plt.hist(データ列, color='mistyrose')
データ列のノルムを揃える	"sklearn.preprocessing.Normalizer(norm=""l2"").fit_transform(データ列)"
折れ線グラフを赤い破線で描画する	plt.plot(データ列x, データ列y, linestyle='dashed', color='r')
横棒グラフをオーキッド色で描画する	plt.barh(データ列x, データ列y, color='orchid')
折れ線グラフの色をライトスチールブルーに設定する	plt.plot(データ列x, データ列y, color='lightsteelblue')
辞書をチェーンマップに変換する	collections.ChainMap(aDict)
ヒストグラムの色をミントクリームに設定する	plt.hist(データ列, color='mintcream')
データシリーズの曜日の名前	ds.dt.weekday_name
option: マーカーを四角に変更する	marker = 's'
レモンシフォン色のヒストグラムを描画する	plt.hist(データ列, color='lemonchiffon')
option: グラフの色をライムに設定する	color = 'lime'
option: オリーブ色を使う	color = 'olive'
ライトゴールドロディイエロー色のヒストグラムを描画する	plt.hist(データ列, color='lightgoldenrodyellow')
ピーチパフ色のヒストグラムを描画する	plt.hist(データ列, color='peachpuff')
棒グラフをライトグリーン色で描画する	plt.bar(データ列x, データ列y, color='lightgreen')
横棒グラフをラベンダーブラッシュ色で描画する	plt.barh(データ列x, データ列y, color='lavenderblush')
実数の正接の逆数	math.atan(x)
棒グラフの色を赤にする	plt.bar(データ列x, データ列y, color='red')
半透明の一点鎖線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dashbot', alpha=0.5)
文字列を部分文字列で二分する	s.partition(sub)
グラフで使える色名の一覧	matplotlib.colors.cnames
データフレームを10の位で丸める	df.round(-1)
ミディアムスレートブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumslateblue')
変数について数式の微分を行う	sympy.diff(e, z)
ライトスチールブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightsteelblue')
散布図の色をレモンシフォンにする	plt.scatter(データ列x, データ列y, color='lemonchiffon')
散布図の色をライトコーラルにする	plt.scatter(データ列x, データ列y, color='lightcoral')
折れ線グラフを青い破線で描画する	plt.plot(データ列x, データ列y, linestyle='dashed', color='b')
リストの末尾から要素をポップする	aList.pop()
折れ線グラフに青い右三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='>', markerfacecolor='b')
option: マーカーの色をサンディーブラウンにする	markerfacecolor = 'sandybrown'
カウンタの項目を増やす	aCounter[element] += 1
色付きの点線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dotted', color='#800080')
横棒グラフの色をラベンダーブラッシュにする	plt.barh(データ列x, データ列y, color='lavenderblush')
棒グラフの色を淡いピンク色にする	plt.bar(データ列x, データ列y, color='lightpink')
棒グラフをライトグレー色で描画する	plt.bar(データ列x, データ列y, color='lightgray')
リストの各要素を関数に適用した結果でソートする	sorted(aList, key=func)
数式の平方根を求める	sympy.sqrt(e)
ヒストグラムの色を黄色に設定する	plt.hist(データ列, color='yellow')
横棒グラフをターコイズ色で描画する	plt.barh(データ列x, データ列y, color='turquoise')
パールゴールデンロッド色のヒストグラムを描画する	plt.hist(データ列, color='palegoldenrod')
日付データの日数	aDate.day
散布図を茶色色で描画する	plt.scatter(データ列x, データ列y, color='brown')
データフレームから	df.select_dtypes(型).columns
二変数の最小値	min(x, y)
散布図のダイアモンドマーカーを黒くする	plt.scatter(データ列x, データ列y, marker='D', markerfacecolor='k')
option: モカシン色を使う	color = 'moccasin'
データフレームのあるカラムの秒	df['列A'].dt.second
折れ線グラフのバツマーカーの色を変更する	plt.plot(データ列x, データ列y, marker='x', markerfacecolor='#800080')
サドルブラウン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='saddlebrown')
ライム色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='lime')
option: マーカーの色をディープスカイブルーにする	markerfacecolor = 'deepskyblue'
散布図をシーグリーン色で描画する	plt.scatter(データ列x, データ列y, color='seagreen')
ベクトルの演算をする	import numpy as np
モデルの残差を求める	目的変数 - model.predict(説明変数)
option: シャルトリューズ色を使う	color = 'chartreuse'
データフレームからカテゴリデータの列を抽出する	df.select_dtypes('object')
ファイルをバイナリ書き込みできるようにオープンする]	open(filepath, mode='wb')
クラス分類の正解率を求める	sklearn.metrics.accuracy_score(正解データ列, 予測データ列)
横棒グラフをダークオーキッド色で描画する	plt.barh(データ列x, データ列y, color='darkorchid')
ピーチパフ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='peachpuff')
データフレームの中に文字列があるか調べる	df.isin([value])
キーが辞書上で定義済みか調べる	key in aDict
散布図の色をパパイヤウィップにする	plt.scatter(データ列x, データ列y, color='papayawhip')
折れ線グラフのマーカーを左三角にする	plt.plot(データ列x, データ列y, marker='<')
折れ線グラフをダークシアグリーン色で描画する	plt.plot(データ列x, データ列y, color='darkseagreen')
グリッド線	plt.grid(linewidth=3.0)
ヒストグラムの色をパールゴールデンロッドに設定する	plt.hist(データ列, color='palegoldenrod')
データフレームの列の名前一覧で指定した列をドロップする	df.drop(columns, axis=1, inplace=True)
ゲインズボロ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='gainsboro')
スカイブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='skyblue')
option: サーモン色を使う	color = 'salmon'
棒グラフをインディアンレッド色で描画する	plt.bar(データ列x, データ列y, color='indianred')
フォーマットで列を日付データに変換する	pd.to_datetime(df['列A'], format='%Y-%m-%d')
散布図を白くする	plt.scatter(データ列x, データ列y, color='w')
データフレームから重複を残さず重複をドロップする	df.drop_duplicates(keep=False)
折れ線グラフの色をオールドレースに設定する	plt.plot(データ列x, データ列y, color='oldlace')
折れ線グラフをサンディーブラウン色で描画する	plt.plot(データ列x, データ列y, color='sandybrown')
赤いダイアモンドマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='D', c='r')
option: マーカーの色をビスクにする	markerfacecolor = 'bisque'
データを平均と分散で標準化を行う	sklearn.preprocessing.StandardScaler().fit_transform(データ)
折れ線グラフの色をペールグリーンに設定する	plt.plot(データ列x, データ列y, color='palegreen')
データフレームの中である列に重複があれば、ドロップする	df.drop_duplicates(subset='列A', inplace=True)
アヤメのデータセットをロードする	df = sns.load_dataset('iris')
サドルブラウン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='saddlebrown')
イテラブルのイミュータブルな集合	frozenset(iterable)
option: マーカーの色をゴールドにする	markerfacecolor = 'gold'
スラグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='slategray')
インディアンレッド色のヒストグラムを描画する	plt.hist(データ列, color='indianred')
文字列を文字リストに変換する	list(s)
二つのカウンタの共通する要素	aCounter & aCounter2
データフレームのカラムの歪度を求める	scipy.stats.skew(df['列A'], bias=False)
半透明の実線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='solid', alpha=0.5)
棒グラフの色をオーキッドにする	plt.bar(データ列x, データ列y, color='orchid')
nとn2の商	n / n2
文字列中の片仮名を平仮名に変換する	''.join([chr(ord(ch) - 96) if ('ァ' <= ch <= 'ン') else ch for ch in s])
option: グラフの色をダークシアグリーンに設定する	color = 'darkseagreen'
二つの文字列を改行で区切ってプリントする	print(value, value2, sep='\n')
決定木の重要度を可視化する	plt.barh(X.columns, model.feature_importances_)
プラム色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='plum')
ヒストグラムをサドルブラウン色で描画する	plt.hist(データ列, color='saddlebrown')
横棒グラフをパレットトルコイズ色で描画する	plt.barh(データ列x, データ列y, color='paleturquoise')
ヒストグラムの色をミディアムオーキッドに設定する	plt.hist(データ列, color='mediumorchid')
折れ線グラフをピンク色で描画する	plt.plot(データ列x, データ列y, color='pink')
option: NaNは例外を投げる	nan_policy = 'raise'
グラフの色を暗くする	sns.set(pallete='dark')
横棒グラフをコーラル色で描画する	plt.barh(データ列x, データ列y, color='coral')
辞書の値の一覧	aDict.values()
集合をイミュータブルなセットに変換する	frozenset(aSet)
option: パレットトルコイズ色を使う	color = 'paleturquoise'
データ列をインポートする	import pandas as pd
カデットブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='cadetblue')
データフレームの選択したカラムが正規分布からどの程度、歪んでいるか見る	df[['列A', '列B']].kurt()
横棒グラフの色をミッドナイトブルーにする	plt.barh(データ列x, データ列y, color='midnightblue')
カテゴリデータ列をワン・ホットベクトル化する	sklearn.preprocessing.OneHotEncoder(sparse=False).fit_transform(データ列)
既存の配列を元に全要素が1の配列	np.ones_like(aArray)
文字列をバイト配列に変換する	bytearray(s)
ゴールデンロッド色の線グラフを描画する	plt.plot(データ列x, データ列y, color='goldenrod')
グラフのx軸とy軸の比率を等しくする	plt.axis('equals')
option: マーカーの色をパールバイオレットレッドにする	markerfacecolor = 'palevioletred'
option: グラフの色をミディアムバイオレットレッドに設定する	color = 'mediumvioletred'
線形モデルの回帰変数	model.coef_
棒グラフの色をシアンにする	plt.bar(データ列x, データ列y, color='cyan')
折れ線グラフに黒い星マーカーを描画する	plt.plot(データ列x, データ列y, marker='*', markerfacecolor='k')
折れ線グラフに黒い左三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='<', markerfacecolor='k')
文字列は全て十進数字か調べる	s.isdecimal()
横棒グラフをライトシアン色で描画する	plt.barh(データ列x, データ列y, color='lightcyan')
ふたつの集合が集合と互いに素か調べる	aSet.isdisjoint(aSet2)
ふたつの列からグループ化し、標準偏差を求める	df.groupby(['列A', '列B'], as_index=False).std()
ふたつの集合の差集合	aSet.difference(aSet2)
CSVファイルをn番目のカラムをインデックスとして読み込む	pd.read_csv('file.csv', index_col=n)
フォーマットでデータ列を日付データに変換する	pd.to_datetime(ds, format='%Y-%m-%d')
特異値分解を行う	model = sklearn.decomposition.TruncatedSVD(n_components=n)
全要素を０で初期化した複素数型の行列	np.zeros(行数, 列数, dtype=bool)
散布図の色をディムグレーにする	plt.scatter(データ列x, データ列y, color='dimgray')
スクリプトファイルと同じディレクトリのファイルのパス	os.path.join(os.path.dirname(os.path.abspath(__file__)), filepath)
nとn2の論理積	n & n2
棒グラフをペールグリーン色で描画する	plt.bar(データ列x, データ列y, color='palegreen')
リストとリストについての散布図に黒い四角マーカーを描画する	plt.plot(データ列x, データ列y, marker='s', c='k')
文字列を緑色でプリントできる文字列に変換する	f'\033[32m{value}\033[0m'
本日が水曜日か調べる	datetime.datetime.today().weekday() == 2
散布図の色をコーラルにする	plt.scatter(データ列x, データ列y, color='coral')
レベッカパープル色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='rebeccapurple')
インディゴ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='indigo')
棒グラフをカデットブルー色で描画する	plt.bar(データ列x, データ列y, color='cadetblue')
コマンドの第一引数を知る	sys.argv[1]
n個の要素があるリスト	[element] * n
アクアマリン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='aquamarine')
文字列がタプルの要素か調べる	element in aTuple
ロバストな線形回帰分析の準備をする	model = sklearn.linear_model.HuberRegressor()
ライトゴールドロディイエロー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightgoldenrodyellow')
ローングリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lawngreen')
データフレームを表示するとき、n列までデータフレームを表示可能なようにする	pd.set_option('display.max_columns', n)
option: サンディーブラウン色を使う	color = 'sandybrown'
横棒グラフを描画する	plt.barh(ラベル列, データ列)
横棒グラフの色をアンティークホワイトにする	plt.barh(データ列x, データ列y, color='antiquewhite')
棒グラフの色をオレンジにする	plt.bar(データ列x, データ列y, color='orange')
option: グリーン色を使う	color = 'green'
文字列中に部分文字列がいくつか含まれるか調べる	s.count(sub)
データフレームのカラムが正規分布に従うか仮説検定する	scipy.stats.shapiro(df['列A'])
実行時の標準出力の出力先がターミナルか調べる	sys.stdout.isatty()
横棒グラフの色をディープスカイブルーにする	plt.barh(データ列x, データ列y, color='deepskyblue')
スカイブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='skyblue')
リストを展開してプリントする	print(*aList)
レベッカパープル色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='rebeccapurple')
ダークグリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darkgreen')
ダークシアン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkcyan')
データフレームの中にある文字列の合計を数える	df.isin([value]).sum()
散布図の色をミディアムパープルにする	plt.scatter(データ列x, データ列y, color='mediumpurple')
option: マーカーの色をアリスブルーにする	markerfacecolor = 'aliceblue'
リストをナンバリングする	enumerate(aList)
棒グラフをライトブルー色で描画する	plt.bar(データ列x, データ列y, color='lightblue')
貝殻色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='seashell')
棒グラフの色をゴーストホワイトにする	plt.bar(データ列x, データ列y, color='ghostwhite')
option: 改行コードをUNIXに設定する	newline = '\n'
実数の双曲線正弦	math.sinh(x)
option: グラフの色をネイビーに設定する	color = 'navy'
散布図の色をコーンズシルクにする	plt.scatter(データ列x, データ列y, color='cornsilk')
ホットピンク色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='hotpink')
日付時刻データを文字列でフォーマットする	"aDatetime.strftime(""%d/%m/%y"")"
貝殻色の線グラフを描画する	plt.plot(データ列x, データ列y, color='seashell')
散布図をターコイズ色で描画する	plt.scatter(データ列x, データ列y, color='turquoise')
データフレームの列の名前を付け直す	df.rename(columns={'列A': '列a', '列B': '列b'})
グリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='green')
棒グラフの色をオリーブにする	plt.bar(データ列x, データ列y, color='olive')
リストとリストについての散布図に黒い丸マーカーを描画する	plt.plot(データ列x, データ列y, marker='o', c='k')
折れ線グラフに赤い大バツマーカーを描画する	plt.plot(データ列x, データ列y, marker='X', markerfacecolor='r')
折れ線グラフをアンティークホワイト色で描画する	plt.plot(データ列x, データ列y, color='antiquewhite')
折れ線グラフのダイアモンドマーカーを赤くする	plt.plot(データ列x, データ列y, marker='D', markerfacecolor='r')
option: 貝殻色を使う	color = 'seashell'
浮動小数点数の最小値	sys.float_info.min
データフレームの指定したカラムの欠損値を最大値に設定する	df['列A'].fillna(df['列A'].max())
棒グラフの色を黄色にする	plt.bar(データ列x, データ列y, color='yellow')
ヒストグラムの色をオリーブに設定する	plt.hist(データ列, color='olive')
折れ線グラフの下三角マーカーを黒くする	plt.plot(データ列x, データ列y, marker='v', markerfacecolor='k')
カテゴリで色分けして、データフレームをにバイオリン図で可視化する	sns.violinplot(x='カテゴリ列', y='列', hue='カテゴリ列', data=df)
ふたつの集合が共通の要素を持たないか調べる	aSet.isdisjoint(aSet2)
配列と同じ大きさの空配列を作る	np.empty_like(aArray)
option: 線の幅を3.0ポイントに設定する	linewidth = 3.0
棒グラフをスノー色で描画する	plt.bar(データ列x, データ列y, color='snow')
ふたつの集合が集合と交わりを持たないか調べる	aSet.isdisjoint(aSet2)
文字列の先頭で正規表現にASCII限定としてマッチするか見る	re.match(pattern, s, flags=re.ASCI)
二つの配列を列方向に連結する	np.concatenate([aArray, aArray2], axis=0)
ミスティローズ色のヒストグラムを描画する	plt.hist(データ列, color='mistyrose')
option: マーカーの色をミディアムバイオレットレッドにする	markerfacecolor = 'mediumvioletred'
折れ線グラフの色をライムグリーンに設定する	plt.plot(データ列x, データ列y, color='limegreen')
集合からエラーなく要素を取り除く	aSet.discard(element)
データフレームを関数の値によってグループ化し、要約統計量を求める	df.groupby(関数).describe()
リストとリストについての散布図に赤い星マーカーを描画する	plt.plot(データ列x, データ列y, marker='*', c='r')
両端キューのn番目に要素を挿入する	deq.insert(n, element)
行列の値	aArray[行番号, 列番号]
横棒グラフをダークグレー色で描画する	plt.barh(データ列x, データ列y, color='darkgray')
ヒストグラムを紺色で描画する	plt.hist(データ列, color='darkblue')
散布図に黒い右三角マーカーを描画する	plt.scatter(データ列x, データ列y, marker='>', markerfacecolor='k')
棒グラフの色をインディゴにする	plt.bar(データ列x, データ列y, color='indigo')
棒グラフをシエナ色で描画する	plt.bar(データ列x, データ列y, color='sienna')
データシリーズの歪度	ds.kurt()
option: グラフの色をダークオーキッドに設定する	color = 'darkorchid'
リネン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='linen')
タプルの末尾のn要素を取り除く	aTuple[:-n]
ライトブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightblue')
折れ線グラフをデピンク色で描画する	plt.plot(データ列x, データ列y, color='deeppink')
データフレームをある列によって昇順に破壊的にソートする	df.sort_values(by='列A', ascending=True, inplace=True)
折れ線グラフに青い四角マーカーを描画する	plt.plot(データ列x, データ列y, marker='s', markerfacecolor='b')
データフレームの列をヒストグラムにする	plt.hist(df[column])
散布図の色をカーキにする	plt.scatter(データ列x, データ列y, color='khaki')
ダークグレー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkgray')
リストの中の最大値	max(aList)
n2がn以上、かつ、n3以下か調べる	n <= n2 and n2 <= n3
横棒グラフをネイビー色で描画する	plt.barh(データ列x, データ列y, color='navy')
棒グラフの色をフクシアにする	plt.bar(データ列x, データ列y, color='fuchsia')
横棒グラフをダークサーモン色で描画する	plt.barh(データ列x, データ列y, color='darksalmon')
ユニークな値を要素とする配列	np.unique(aArray)
二つの文字列は同じか調べる	s == s2
日付時刻データの秒数	aDatetime.second
折れ線グラフの色をゲインズボロに設定する	plt.plot(データ列x, データ列y, color='gainsboro')
option: 丸マーカーを使う	marker = 'o'
横棒グラフを紺色で描画する	plt.barh(データ列x, データ列y, color='darkblue')
ガウス過程回帰モデルを作る	model = sklearn.gaussian_process.GaussianProcessRegressor()
ある列の値がxより大きく、yより小さい行を抽出する	df[(x < df['列A']) & (df['列A'] < y)]
option: グラフの色をダークスレートブルーに設定する	color = 'darkslateblue'
option: オレンジレッド色を使う	color = 'orangered'
ライトグレー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightgray')
リストとリストについての散布図に黒いダイアモンドマーカーを描画する	plt.plot(データ列x, データ列y, marker='D', c='k')
縦軸の目盛を表示しない	plt.yticks([])
日付時刻データをn日前に戻す	aDatetime - datetime.timedelta(days=n)
ビスク色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='bisque')
標準入力から1行だけ改行なしで読む	sys.stdin.readline().rstrip()
JSONを使う	import json
二つの文字列は等しくないか調べる	s != s2
横棒グラフをダークマゼンタ色で描画する	plt.barh(データ列x, データ列y, color='darkmagenta')
散布図の色をブルーバイオレットにする	plt.scatter(データ列x, データ列y, color='blueviolet')
シルバー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='silver')
棒グラフの色を青紫にする	plt.bar(データ列x, データ列y, color='violet')
折れ線グラフを耐火レンガ色で描画する	plt.plot(データ列x, データ列y, color='firebrick')
散布図の右三角マーカーの大きさを変更する	plt.scatter(データ列x, データ列y, marker='>', markersize=2.0)
二つの変数を同じ値にする	x = y = n
ヒストグラムの色をハニーデューに設定する	plt.hist(データ列, color='honeydew')
option: マーカーの色を青緑にする	markerfacecolor = 'teal'
ナバホホワイト色の線グラフを描画する	plt.plot(データ列x, データ列y, color='navajowhite')
データフレームの選択したカラムを千の位で丸めて、整数型にする	df[['列A', '列B']].round(-3).astype(int)
データフレームのカラムのトリム分散を求める	scipy.stats.tvar(df['列A'], limits=(下限, 上限), inclusive=(True, True))
散布図に下三角マーカーを使う	plt.scatter(データ列x, データ列y, marker='v')
実数の逆双曲線正接	math.atanh(x)
文字列内にひとつでもアスキー文字が含まれるか調べる	any(c.isascii() for c in s)
データフレームのカラムのケンドールの相関係数を求める	scipy.stats.kendalltau(df['列A'], df['列B'])
ヒストグラムをダークオリーブグリーン色で描画する	plt.hist(データ列, color='darkolivegreen')
散布図の色をオレンジレッドにする	plt.scatter(データ列x, データ列y, color='orangered')
散布図の色をイエローグリーンにする	plt.scatter(データ列x, データ列y, color='yellowgreen')
日付データををn週間後に進める	aDate + datetime.timedelta(weeks=n)
option: バイナリモードに設定する	mode = 'rb'
ヒストグラムをミディアムスプリンググリーン色で描画する	plt.hist(データ列, color='mediumspringgreen')
紺碧色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='azure')
文字列中の平仮名を片仮名に変換する	''.join([chr(ord(ch) + 96) if ('ぁ' <= ch <= 'ん') else ch for ch in s])
option: 整数型を使う	dtype = np.int
スラグレー色のヒストグラムを描画する	plt.hist(データ列, color='slategrey')
配列のユニークな要素とその位置	u, indices = np.unique(aArray, return_index=True)
整数nが配列のどれかか調べる	n in aArray
棒グラフの色をデピンクにする	plt.bar(データ列x, データ列y, color='deeppink')
エクセルファイルからデータフレームを読み込む	pd.read_excel('file.xlsx')
ダークマゼンタ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darkmagenta')
JSON形式のバイト列を辞書に変換する	json.loads(b.decode('unicode-escape'))
データフレームのあるカラムのタイムゾーンを日本に設定する	df['列A'].tz_convert('Asia/Tokyo')
イテラブルを文字列リストに変換して、タブで連結する	'\t'.join(map(str, iterable))
データフレームの指定したカラムの要約統計量	df['列A'].describe()
両端キューをタプルに変換する	tuple(deq)
データフレームの指定したカラムの中にある文字列と文字列の合計を数える	df['列A'].isin([value, value2]).sum()
option: グラフの色をライトブルーに設定する	color = 'lightblue'
カウンタを少ない順に列挙する	aCounter.most_common()[::-1]
星印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='*')
数列の相関係数を求める	scipy.stats.pearsonr(数列, 数列2)
ライトサーモン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightsalmon')
データフレームのある列の値がx以下の行を抽出する	df[df['列A'] <= x]
文字列を下線付きでプリントする	print(f'\033[4m{value}\033[0m')
ダークオーキッド色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkorchid')
試しに何か動かす	print('Hello World')
option: グラフの種類を実線に設定する	linestyle = 'solid'
部分的最小二乗回帰モデルを作る	model = sklearn.cross_decomposition.PLSRegression(n_components=10)
ゴーストホワイト色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='ghostwhite')
カウンタをリストに変換する	list(aCounter)
横棒グラフの色をローングリーンにする	plt.barh(データ列x, データ列y, color='lawngreen')
データシリーズの曜日が何日目か見る	ds.dt.dayofweek
切片なしの線形回帰モデルを作る	model = sklearn.linear_model.LinearRegression(fit_intercept=False)
青い棒グラフを描画する	plt.bar(データ列x, データ列y, color='b')
棒グラフの色をスカイブルーにする	plt.bar(データ列x, データ列y, color='skyblue')
日付を使う	import datetime
データフレームの中の欠損値の合計を数える	df.isna().sum()
option: グラフの色をミッドナイトブルーに設定する	color = 'midnightblue'
エクセルファイルから複数のシートを指定してデータフレームとして読み込む	pd.read_excel('file.xlsx', sheet_name=[0, 1])
実数のn乗	x ** n
JSONファイルのファイル入力を読み込んで、dataとする	data = json.load(fin)
折れ線グラフに青いダイアモンドマーカーを描画する	plt.plot(データ列x, データ列y, marker='D', markerfacecolor='b')
