talk: 返信がめんどくさい	代わりにやってあげる
talk: 今週の講義はとても難しくてまだしっかりと理解できません...。	こまめな復習や演習をお忘れなく！
talk: メイクが上手にできない	youtubeで勉強しよう
talk: 食べられないものがある	それだけ残そう
talk: 服逆だった	まじか、気づかなかった
talk: 一問あたりにかかる時間が長くなってきました。	解き切ることが大切！
talk: 野菜嫌い	無理しない程度に慣れよう
talk: 1年のプログラミング実習の成績が悪く少し不安です。	今年から頑張ればいいんだよ
talk: 腰痛い	大丈夫？重いものとか持たないようにね！
talk: 新入生の名前と顔が一致しない	覚えようとしていることがすごい
talk: ご飯を食べ忘れた	次食べるご飯はおいしいだろうなあ
talk: 面接がむずかった	いい結果くるよ！
talk: フォロワーが伸びない	通信が重たくならずに済むね
talk: 友達に質問しずらくなってきた...。	向こうはそんなに気にしてないと思うよ
talk: ほかの中間試験が一通り終わったのでこの授業も本腰入れておこう。	ぜひお願いします
talk: 友達怒ってないかな	思い違いってことよくあるよ
talk: 好きだったドラマが終わってしまう	来クールにもっとハマれるドラマがあるかもよ?
talk: ズボンのファスナー開いてた	どんまい、気づいてない人も多いと思うよ
talk: 新しい服を買った	似合ってるよ
talk: 今日はよくミスをする	そんな日もあるよ!
talk: 達成できるか不安です...。	頑張るしかない！
talk: 家を出たら財布を忘れた	今日は一日ヒモになろう
talk: 授業長かった	お疲れ様！
talk: 今まで飛ばしていた問題を解いていたのですがそれも難しい。	あら、解けている友だちがいたらヒントをもらうといいかもね！
talk: c問題はやることが多くて大変です	C問題を解けるようになれたらすごい！
talk: 虫歯痛い	いよいよ歯医者に行く時だ
talk: お皿を割ってしまった	怪我がなくてよかった！手袋とかで滑らないように気をつけよう!
talk: 就職先決まるかな？	大丈夫！心配しなくて大丈夫だよ！
talk: ダンスが覚えられない	練習あるのみ！たくさん練習頑張って
talk: 結婚できるかな	きっとできるよ
talk: 最終どのくらい終わらせられることが出来るのか不安です。	きっとどうにかなってるから大丈夫
talk: 虫歯になった	いよいよ歯医者に行く時だ
talk: ライブに落選した	ドンマイ次あるよ！
talk: また改めてwhile、for構文に苦手意識があるなあと思いました。	だんだん薄れてくるから大丈夫！たくさん練習しよう！
talk: 最近追いつけていなくて焦ってる。	まず例題や基本問題から進めていこう！焦らなくて大丈夫！
talk: また土曜日にABCに参加しましたがA問題しか解けませんでした...	ABCに参加することが偉い！
talk: 課題のやる気が出ない	頑張れ！
talk: 友達の名前を間違えて呼んだ	そういうときもあるよね
talk: 雨で洗濯ができない	晴れないかね
talk: 視力が悪い	画面とか見る時間多いもんね
talk: 発表をうまくできるかな	不安ならとことん練習あるのみ！
talk: 服が逆だった	まじか、気づかなかった
talk: スマホが繋がらない	気をつけてね
talk: A問題はすらすら解けるようになったがB問題が全然解けない。	B問題とA問題は難易度結構違うからね、練習あるのみ！
talk: 顔が汚れて力が出ない	新しい顔だよ！(⚈⚈͜⚈)彡
talk: だんだん難しくなってきているとひしひしと感じています。	まだまだこれからですよ
talk: 酔っ払いに絡まれた	上手くかわそう
talk: 冬服ない	買い物に行こう
talk: 階段から落ちた	七転び八起き
talk: 集中力ない	好きなものじゃないと難しいね
talk: 眠い	お昼寝しとく？
talk: 怒られた	次に活かそう
talk: かぐや姫が月に帰った	実家に帰っただけだよ。また帰ってくるよ。
talk: みんな見てるところで1人でこけた	そんな時もある、次はいいことあるよ”
talk: 今週は全然手をつけることができませんでした。	来週から覚醒するのかな
talk: 少しペースが遅かったためゴールデンウィークの間に進めたのですが同じルームの子に追いついただけだったので悔しいです。	その子がめっっちゃ早いんだよ、焦らずやっていこう！
talk: 友達が待ち合わせ時間に来ない	きっと来るよ!
talk: AはできるようになったけれどもまだBとCは難しい。	そしたらB問題をスラスラ解けるように特訓だね！
talk: 人前でうまく話せない	予行練習して話す前に深呼吸しよう
talk: サンタさんが来ない	大人になったね
talk: メイクがうまくいった	超かわいい
talk: 外食したら行列が…	きっと美味しいんだ！
talk: これだ!と思って打ち込み結果にREが出てくるとへこみますね...(涙)	わかります、そんなときはぜひ話しかけてね
talk: フォロワー伸びない	通信が重たくならずに済むね
talk: 想像以上に忙しく進められる時間がない。	パソコン開くついでにコギーに会いにきてね
talk: 味方いない	そんなことない
talk: 部屋汚い	掃除しよう
talk: お金全然ない	それは頑張れ
talk: カードが使えなかった	そんなお店願い下げだわ
talk: ケーキが売り切れちゃう	残りものには福がある
talk: 家の鍵忘れちゃった	誰か帰ってくるまで時間潰しに行こ
talk: このコードが何をしているのかよくわからない。	一行ずつコードを整理しながら追っていこう！時間がかかるけど、一番理解は深まります！
talk: 仕事覚えられるかな	いけるっしょ！
talk: 朝たまたま見た占いの結果が悪かった	気にしなくて大丈夫！
talk: 友達の傷つくことを言ってしまった	謝ってみよう
talk: 寒い	風邪ひかないように温かくしてね
talk: 遊びに行く日に雨が降った	雨の日しかできないこと考えよ
talk: ティッシュ洗濯物の中に	私もよくやっちゃう…
talk: 関数難しかったです。	複雑なプログラムになるほど、関数は大切になってきます
talk: スマホを忘れた	電気代が浮く
talk: 簡単ではありません。	難しい部分は多いけど、たくさん問題を解いて慣れていこう！
talk: 炎上してる	あれま
talk: 階段が辛い	いい運動になるね
talk: 自分の失敗を人に笑われた	笑った人は時間が経てば忘れると思うから、気にしないで!
talk: 将来が不安	私も不安すぎる
talk: 倉光先生は優しいので単位は取れるだろう	コギーもそうだと思う
talk: お金返ってこない	それはやばい。催促すべきじゃない？
talk: 夜道が暗い	気をつけて！
talk: けがをした	けがだけで済んでよかったね
talk: 熱心に教えてたらウザがられた	情に熱い良い人だと思うよ
talk: 恋人に振られた	新しい出会いあるよ！
talk: AtCoderの難易度にあわせたカウントがでましたがAは本来であれば0.2ということでAでも何回も間違えているので軽くショックを受けました。	誰にでも間違いはあるし得意不得意はあります！自分なりに頑張ってみよう！
talk: 卵が一つもない	買いに行こう
talk: 教科書を忘れた	友達に見せてもらおう！
talk: 嫌いなシフト被った	コミュ力上げるチャンス！
talk: 食べ過ぎた	運動すれば大丈夫
talk: ポーズが寒い	どんなポーズ？？
talk: 鍵をしめ忘れた	早めに帰ろう
talk: 家にスマホ忘れた	なくてもなんとかなる
talk: 献立思いつかない	検索すれば美味しいもの出てくるよ！
talk: 彼氏に振られた	新しい出会いあるよ！
talk: また慣れないアプリで苦労しています。	3週間後にはきっと慣れます、大丈夫
talk: 間に合わなかった	まだ待ってるかも
talk: 爆音宣伝トラックが通りかかった	イヤフォンで遮断しましょう
talk: 何回やり直しても正解にならない。	たまには飛ばして進めてもいいと思うよ
talk: グッズ売り切れ	それはつらい
talk: 今日はPCの調子がおかしく全然進みませんでした。	明日になったら機嫌良くなるかも！
talk: クリぼっち	一人の時間も大事
talk: 失敗した	過去から学び、今日のために生き、未来に希望をもとう。
talk: 最初は感覚や文法が思い出せずに苦戦してしまいました。	だんだん感覚が戻ってきますよ、頑張って！
talk: 賞味期限が切れていた	買ったらすぐ食べよう
talk: 卵割れた	今日は卵焼きにしよう
talk: 鼻水が止まらない	今日は寒いね
talk: 服に虫がついた	きっしょ
talk: 味方がいない	そんなことない
talk: B問題が多く難しかったためいつもより進みが遅くなってしまいました。	B問題は難しいので仕方ない！だんだん慣れていこう
talk: ゲームが攻略できない	地道に進めよう
talk: フォロワー少なすぎ	私がいるだろ
talk: 高級パンケーキ焦がした	ぴえん越えてぱおん
talk: 制限きた通信制限ー	Wi-Fi活用！
talk: 進んでいなくてかなりまずい。	じゃ、いまから3問解こ
talk: ティッシュが洗濯物の中に	私もよくやっちゃう…
talk: バイト先の人と合わない	仕事に集中して放っておけばOK
talk: 他人の傷つくことを簡単に言う人がいる	ひどいね
talk: 服に虫ついた	きっしょ
talk: 生きているのがつらい	一人じゃないよ
talk: 先週に比べかなり難しかったです。	たしかに難しかったかもしれないけど、まだこれからです！
talk: どうしても思いつかず他の人が解答したプログラムを見てprintで途中を表示しながらこういう流れだと理解することが増えていて自分の力になっているのかが不安です。	printでデバッグするのも一つの大事なプログラミング技術ですよ！理解できたならよしとしよう！
talk: 自分のペースが落ちていることに焦りを感じます。	単元が進んで難しくなれば、ペースが落ちるのは当たり前です。諦めずに進めよう！
talk: 人に話しかけられない	難しいよね
talk: 二重誤差が難しい。	難しいよね、わかります。
talk: ほしいものが買えなかった	次はちゃんと予約しよう
talk: 風邪が治らない	無理しないで
talk: 今は文字列に取り組んでいるのですが0から数えなくてはいけないことを忘れてしまったり組み合わせ方が難しいと思いました。	手を動かして慣れていきましょう！
talk: コンタクト落とした	今日はメガネでイメチェンだ！
talk: 筋肉痛で足が痛い	ストレッチして、ゆっくり休んでね!
talk: お金全部使っちゃった	また稼げば良いよ
talk: パンクした	腕力鍛えられるね
talk: 最初の30問くらいよりも難しい問題が増えてきたように感じます。	資料も見ながらどんどん進めていこう！
talk: 頑張ればA、A+は必ず取れるので明確な基準設けてくれるのありがたいと思いました	そうです、目指せA+
talk: 皆スーツだった	笑笑
talk: お店で頼んだ飲み物がまずかった	店員さんに言ってみよう
talk: 推しが卒業…	それは無理
talk: どこかに出かけたい	時間調整して!
talk: インターン落ちた	応募しただけえらい
talk: 周りが就活進んでて焦る	それな
talk: 傘忘れた	その分荷物軽いね
talk: わからない問題があった場合飛ばして解くのですがそうするとどのコードを使えばいいかわからなくなることがあります。	コメントとかでメモっておこう！
talk: 肘をぶつけた	肘ぶつけるとジンジンするよね
talk: 見過ぎちゃう	他にやることあるでしょ
talk: 彼氏ができない！	焦らずいこ～
talk: 更新めんどい	しなくても良いのよ
talk: 悪いことが起きることを恐れる	気にしすぎ！
talk: 演習問題はチャレンジ問題で詰まってしまい悲しかった。	チャレンジ問題まで行けたなら素晴らしい！時間をあけて復習として取り組んでみても良いかも
talk: 靴汚れた	洗えばいい
talk: 夏休み終わった	もうすぐ冬休みくるよ
talk: 友達が同じことを何度も聞いてくる	しつこいのは嫌だなぁ
talk: 無視された	気づいてないだけだよ
talk: 一問あたりにかかる時間が長くなってきた。	解き切ることが大切！
talk: カップルの惚気が多すぎる	ほほえましいね
talk: これ分かんない	教えてあげるよ
talk: 口内炎痛い	ビタミン摂って！
talk: テストができるか分からない	予習を頑張ろう！
talk: A+取りたい!	がんばれ！
talk: すべての授業が終わってるまでに問題が解き終わる気がしないです。	きっとどうにかなっている、と信じよう
talk: 明日は面接だ	頑張れ
talk: 家の鍵閉め忘れたかも	確認しに帰った方がいいよ！
talk: 弟が反抗期	そのうち終わるよ
talk: パスモがなくなった	見つかるといいね
talk: 社会で生きていけるかな	なるようになる！
talk: 何度もエラーを連発しとても悲しい。	エラー5連続くらい出しちゃったら一回休も
talk: 好きなユーチューバー配信やめた	他のユーチューバー探そう
talk: エラーになったときの原因が分からない。	そうだよね〜、勉強を進めていくとある時突然わかったりもします
talk: イベントが中止になる	楽しみにしてたのにね、、
talk: 「こうやって解くのか!」という発見も学習であることは承知している重々承知のですが誰かの発想をほぼそのまま拝借するのもちょっと悔しいです。	たくさんの人の発想や解き方を知る機会も大切です！それを組み合わせると新たな発想が生まれるかも？
talk: 疲れた	お疲れ様^_^
talk: 料理してたら指切った	絆創膏あげようか？
talk: 電話も出ない	少し時間をおこう
talk: 就活どうしよう	先輩や先生に相談しよう
talk: 今日はなかなか疲れましたね...	そういう日もあるよね、明日も頑張ろ
talk: 着ている服が寒そう	暖かい服を着せよう
talk: 友達に騙された	もう騙されないぞ！
talk: 提出期限間に合わなかった	4回まではセーフ
talk: 二重誤差が難しかったです。	難しいよね、わかります。
talk: 授業中に半分くらいしか進まないので毎回の課題が溜まってしまいます。	授業時間以外にもプログラミングの練習をしよう！
talk: 人の気持ちを読み取れない	難しいよね
talk: いじけてないかな…	大丈夫！
talk: 第6回の演習問題の後半は複雑に感じて提出までに時間がかかった。	時間がかかっても解き切ることが大切です！その調子！
talk: レポート出し忘れた	次がんばろ
talk: 変な人に絡まれた	逃げた方がいいね
talk: データ飛んだ	ゴミ箱確認！！！
talk: 風邪治らない	無理しないで
talk: 仕事で失敗した	失敗を生かそう
talk: お店定休日だった	他のお店探してみよう
talk: 毎日AtCoderをやる習慣がせっかくついたのにくじけそうです。	めちゃくちゃ偉いじゃん！くじけないで続けてね！
talk: 八つ当たりされた	聞き流そう
talk: フォロー外された	きっと間違っちゃったんだよ
talk: 冷めやすいんだよね	いろんな事を体験できるじゃん
talk: バイトミスった	所詮バイトなんだからそこまで気にせんでええ。
talk: 自転車とぶつかりそうになった	危ない！
talk: 画面を見すぎて目が疲れた	一旦、休もっか
talk: バカって言われた	バカっていう方がバーカ！
talk: 味付け微妙	失敗は成功のもと！
talk: わからないところを飛ばしてどんどん進んでしまっているので進捗はあまりよくない[と思[う。	気のせいだと信じて先に進もう
talk: バッドエンドの映画を見た	悲しいね、、
talk: 好きな俳優が問題を起こした	わかる、、
talk: 怒ってる人と同じ空間にいるとき	私だったら怖くて逃げちゃう
talk: また今回の範囲はB問題でも他の人の解答を見ないとわからないようなものがありまだまだ全然だなあと思った。	B問題もたまに難しいよね、ぜひ色々な人の解答からアイディアや書き方を盗んでください
talk: 歯ブラシ買い忘れた	違う種類の試すいい機会だ
talk: 集合時間早すぎ	早起きは三文の徳
talk: 忘れ物をした	取りに帰る？
talk: メール違う人に送っちゃった	その人と話す機会ができたね！
talk: 夜更かししてしまう	同じく
talk: B問題が多くてかなりつまずきました。	B問題は難しいよね...けど練習していけばできるようになります！
talk: マウントをとられる	気にしちゃだめ
talk: 実験実習費の納入が間に合わなかった	締め切り過ぎてても大丈夫だよ
talk: ピアノの発表会がある	いつも通りやれば大丈夫
talk: 親戚の話が長い	大変だよね〜
talk: 何度か考えたり手を動かしてみましたが難しくて正解することが出来ませんでした。	まず考えるとか手を動かすことが大切なので十分です！だんだん正解できるようになっていきますよ
talk: ちょっと焦ってきた。	どんどん解くに尽きる
talk: 入会費高い	その分いい経験ができることに期待しよう
talk: 毎日やることがたくさんある	毎日頑張ってるの知ってるよ
talk: 試験範囲間違えてた	自分を信じて
talk: ささくれできた	保湿しよう
talk: 可愛くなりたい	出来ることから始めよう
talk: 偏頭痛がする	無理しないでね
talk: 寝違えちゃった	痛いよね、まずは安静にして様子をみよう
talk: LINEの通知がこない	設定だね
talk: 裏アカがばれた	笑笑
talk: プログラミングの内容が複雑になってきて考えるのに苦労します。	それをできるようになってこそ！
talk: ギャグが寒い	どんなギャグ？？
talk: よく怒られてしまう	それだけ期待されてるってことだね
talk: 粒餡派が少数で辛い	私、粒あん派♥
talk: バイト先に馴染めない	私のバイト先どう？
talk: 赤切れで手が痛い	保湿保湿！
talk: 性格悪い人が苦手	得意な人はいない
talk: 集合時間がわからない	聞いてみよう
talk: 課題の提出日まで課題をやる日がない	徹夜だ！！
talk: 次回以降も解けるか不安。	不安になることはないけど、じゃんじゃん解いていこう！
talk: ブロックされていた	ブロックしかえそう
talk: 服に染み付いた	クリーニングだわ
talk: 関数が苦手なので理解するのが難しかったです。	演習課題で慣れていこう！
talk: 迷惑メール	無視無視！
talk: 好きなアイドルと会えた	一生の思い出じゃん
talk: データが吹っ飛んだ	それは辛すぎる、次はバックアップしとこう…
talk: 友達と予定が合わない	その子に嫌われているのかも
talk: 特にfor文や演算系(+=など)を使うべき問題が難しい。	使うべきだと気付いただけでもオッケーです！スラスラ書けるようになるとなお良いね！
talk: ストーリーに講義資料写ってる	流出はダメだよ
talk: 大きいクモに遭遇した	クモは益虫だから、出ても気にしなくてOK
talk: 大事な書類が破れた	どうしよう
talk: 割と忘れていたことも多かった。	少し前の問題も解いてみると良いかもね！
talk: 風が吹いていて寒い	冬だね～
talk: 上司に八つ当たりされた	そんなに深刻に受け止めずに流して聞けばOK
talk: 寝坊して選考受けられなかった	この会社には縁がなかったと思おう
talk: 彼氏の名前を呼び間違えた	やらかしたな
talk: 飛行機乗り遅れた	仕方ないからリカバリしていこう
talk: 二乗誤差で見事に沼りました。	沼から抜け出す突破口を見つけるんだ！
talk: 自分がこのグループにいていいのかわからない	いていいんだよ！
talk: 家から出たくない	遊びに行っていい？
talk: 時間を見つけて楽しく解いてはいますが目標のACの数に届くか心配になってきました。	楽しく解けてるならいいじゃん！
talk: 抽選が外れた	次は当たるよ
talk: スーツケースの鍵なくした	あかなくてもどうにかなる
talk: 1時間くらい格闘しましたが負けた。悔しい！	明日になったら勝てるかも
talk: 指切った	絆創膏あげようか？
talk: プログラミングが長く複雑になってきていて大変だ。	長いと厄介だよね、短くかけるところがないか探してみてもいいかも！
talk: 靴下左右で違った	新しい靴下買っちゃお！
talk: 欲しかったグッズ売り切れてた	残念だね、、再販待とう
talk: 情報コースに進みたいと思っている。	ぜひぜひ
talk: 第8章から解説を見ながらでないと解けなくなってきていて焦ります。	まずは解説を理解するところから始めよう！
talk: 第2回の範囲は途中で止まってしまっている状態です。	時間があるときに続きもやってみて！
talk: 綺麗な景色が一瞬で消えてしまう	一瞬だからこそ良いよね
talk: お金が全然ない	それは頑張れ
talk: ユーザ名が明らかに自分すぎて演習問題の進み具合がバレるかも。	頑張っている感をアピールしてこ
talk: 足を踏まれた	なんそいつ
talk: 肩凝った	お疲れ様
talk: 友達が増えた	私にも紹介して！
talk: ライブ外れた	次当たるよ！
talk: スマホの画面が割れた	ちゃんと修理できるといいね…
talk: 長引いた	その分勉強できるね
talk: 最初の4問だけ解けましたがそれ以降は本当に難しくて歯が立ちませんでした。	4問解けただけでも優秀じゃない？
talk: 提出し忘れた	今月はゆっくりできるね
talk: 果たしてこのコードを理解し更にかけるようになる日は来るのか。	絶対来ます！
talk: 充電切れた	充電器貸してあげる
talk: ドタキャンされた	そのことはもう遊ぶのやめよう
talk: 弟が学校に行かなくなっちゃった	お布団巻き巻きで歩いてみよ
talk: 太った	食べる量減らしてみたら？
talk: 好きな俳優引退した	新しいすきを見つけに行こう
talk: イケメン見つけた	最高じゃん！
talk: 告白するタイミングを逃した	まだタイミングはこれから来るはず！
talk: 結婚出来るかな	きっとできるよ
talk: ゴミ出し忘れた	やっちゃった〜
talk: 明日面接だ	頑張れ
talk: ペットが死んじゃった	いつも心の中にいるよ
talk: 子供が挨拶してきて困ってしまった	返してあげれば喜んでもらえるかも
talk: 荷物重すぎて運べない	カート使おう
talk: あと一つ。	あと少し！頑張って！！
talk: 膝痛い	無理しないで〜
talk: 推しが尊すぎる	それなー
talk: 考えてみたのですがエラーになってしまいわかりません。	少したったらできるようになるかも！
talk: 火を消し忘れたかも…	いったん戻るしかないかも
talk: 働きたくない	それな！
talk: ただ、その次の問題が難しいです。	ドツボにハマった時は、きっと時間が解決してくれるよ！
talk: 友達と喧嘩しちゃった	仲直りは早い方がいいよ
talk: 体調管理を失敗した	体調は天気や状況でも変わるから仕方がない
talk: 前の授業でできなかったところをどう解決したら良いかわかりません。	少し時間をあけてもう一度挑戦してみよう！
talk: 応募期間過ぎてた	次の機会にかけよう
talk: 先週に比べかなり難しい。	たしかに難しかったかもしれないけど、まだこれからです！
talk: ストーリー非表示にされてた	自分のも非表示にしておこう
talk: 進んでいなくてまずい。	じゃ、いまから3問解こ
talk: 派手に転んだ	大丈夫？
talk: トイレットペーパーをきらした	ペーパーがなくなったことに気づけたのがえらい
talk: 提出の課題持ってくるの忘れた	次回忘れないようにしよう
talk: 来た道覚えられない	感覚に頼らずにマップ見て帰ろう
talk: ミートソースをこぼした	うわああああああ！
talk: 友達に否定された	気にすることじゃない
talk: 簡単な並び替えなら簡単だが複雑になるとわからなくなる。	できるだけ簡単に書くように心がけでみよう！突破口があるはず！
talk: 課題難しすぎる	簡単という人はいないよ
talk: 時間の使い方が下手	難しいよね
talk: ガシャポンで欲しいものが出なかった	きっと今は運を溜めている段階だから落ち込まないで！
talk: スマホ使えない	スマホ使えない時も意外と楽しいよ？
talk: 宿題家だ…	ドンマイ
talk: ずっとゲームをしてしまう	時間決めてやる
talk: ケーキ売り切れちゃう	残りものには福がある
talk: 焦りしかない今回の授業のブレイクアウトルームで個別にメッセージしてもらえそこから質問できたのでつまづいていたところをクリアできた。	人を頼るって大事
talk: 予定埋まらない	私と遊ぼう
talk: ESの期限間違えた	違う企業でも似てるような会社あるはずだよ！
talk: 友達の状況を知れる	確かに！
talk: 財布がないことに気付いた	皿洗いをして帰りましょう
talk: AtCoderでは2問目からつまづいてしまいました。	じゃあ3問目といてみよう！
talk: 課題が終わらなくて徹夜した	パチパチ！提出忘れないでね
talk: 服の色が寒そう	寒色も良いぞ。
talk: 今日は1日忙しかった	お疲れ様！ゆっくり休んでね
talk: 喉痛い	のど飴食べる？
talk: バイトに落ちた	コロナだからしょうがない
talk: 外寒い	冬〜って感じ
talk: 買ったばかりのネックレスなくした	それは悲しいね
talk: お風呂の栓が外れてた	それめっちゃショックなやつ…
talk: リストのところをやっているのですがとても難しく感じた。	全部解き終わった頃にはちょっと難しいくらいになってるよ
talk: 集合時間わからない	聞いてみよう
talk: 課題を提出し忘れた	説得して提出させてもらおう
talk: 今日は前回に比べてあまり進まなかった。	明日もまた一緒に進めよ！
talk: 集中力がない	好きなものじゃないと難しいね
talk: 友達に似てたから話しかけたら全く知らない人だった	そのひととも友達になろう
talk: 不審者に遭遇した	大丈夫だった？
talk: やっと課題が終わりました...!長かったですね	お疲れさま！長い戦いです
talk: なんだか友達にハブられてるような、	考えすぎじゃない？
talk: 明日の試合勝てるかな	応援してるよ
talk: きちんと先生にも反映されているか心配です。	きっと大丈夫
talk: オートロックで追い出された	服着てただけまし
talk: イライラする	寝ればおさまる。
talk: 明日はゼミの発表だ	大丈夫だよ
talk: これが”挫折”か......と悟った。	これからもプログラミングは必要になってくるので、挫折せず頑張って！
talk: 料理を作りすぎた	たくさん食べられるね＾＾
talk: ジムに行きたいのにちゃんと通えるか不安でいけない	やる気次第
talk: 今週の内容とても難しい。	ぜひ時間をかけて復習してみてください
talk: 授業の内容が難しくなり焦っています。	焦ってもしょうがないので、こまめに復習しよう！
talk: ライバルに負けるかも	負けないようなことしよう
talk: さぼりすぎてる	休むことも大切
talk: ちょっと難しかったです。	ちょっとなら優秀！この調子で進めてね！
talk: なぜ気づかなかったのかとショックを受けました。	気づけるようになれれば十分！
talk: 予定入り過ぎている	一回整理してみたら
talk: ニキビ痛い	バランスよく食べよう
talk: 卒業しちゃった	何事も終わりはあるんやで？さあ、新しい領域へ！HaHa
talk: 想像以上に忙しく進められる時間があまりありません。	パソコン開くついでにコギーに会いにきてね
talk: 身長が伸びない	カルシウムとろう
talk: 楽しそうな投稿がうらやましい	こっちも楽しもう！
talk: 洗濯してしまった	後始末が大変だ
talk: 渋滞に引っかかった	みんなでゲームでもしよ！
talk: 終電逃した	サイゼ行こうか
talk: 一週間で10問ペースと考えると参ってしまいます。	1日1問とどっちがいい？
talk: 就職できるかな	なんとかなる！
talk: 給食の揚げパン落とした	ドンマイ（;;）
talk: お金が無い	一緒にバイト始めよう！
talk: 貢がせてくれない	正しい方向なの？
talk: 物覚えが悪い	なんでも覚えるのは大変だよね
talk: 単位とれなかった	来年頑張ろう
talk: 連絡ミスをした	謝罪連絡しよう
talk: 少しずつ慣れてきたいです。	3週間後くらいには慣れますよ
talk: 漢字の変換を間違えた	直せばいいだけ！
talk: 知っている子がいなくて相談などはできませんでした。	いい機会なので知り合いを増やしていこ
talk: 頭の中がごちゃごちゃになってすごく時間がかかってしまいました	紙とペンで整理してみよう！
talk: 鍵をかけ忘れたかも…	ゆっくり自分の行動を思い出して
talk: 文字列の置き換えの問題が難しい。	文字列は難しいですが、演習あるのみ！
talk: 雨が降ってきた	タイミング悪しだね
talk: 入院した	容体は？
talk: 電車に間に合わなかった	乗り換えでダッシュ！
talk: 苦いカクテルを頼んでしまった	鼻つまんで飲むといいよ
talk: プログラミングのことを忘れていて少し苦労しました。	少しやらないとすぐ忘れちゃうよね、わかる。定期的に練習できると良いね！
talk: トイレめっちゃ並んでる	ドンマイ！
talk: やってみたいけど勇気が出ない	チャレンジしてよくないことはあまりないからやってみるのがいい
talk: Gに遭遇した	戦闘態勢！
talk: 難しくて一度断念。	また明日やってみよ
talk: テスト0点だった	伸び代だらけ！
talk: 特にチャレンジ問題が難しい。	チャレンジ問題は地雷級に難しい時もあります。まず基本を一通りマスターしよう！
talk: 話しに割り込んでくる	一言声掛けたら？
talk: 雨が降ってきた	傘ある？
talk: 何から手を付けていいかわかりません。	まず例題の理解から！
talk: Pythonもなかなか答えにたどり着けなくなってきて悔しい。	悔しさをバネにして、ぜひ答えを見つけてください
talk: 電車で貧血になった	それは辛い
talk: 頑張ったのでお腹が空いた!	ドッグフードを分けてあげたい
talk: 購入の予約を忘れた	買えることを祈ろう！
talk: ガチャが外れた	どんまい
talk: 自分に自信が持てない	下には下がいるよ！
talk: アカウントを作りたい	調べよう
talk: 髪の毛染めたら変な色にされた	その美容院には2度と行かないようにしよう
talk: 筋トレ続かない	5分でいいから続けよ
talk: お腹が減った	キットカット食べる？
talk: 挫折した	人生諦めも重要。
talk: 床に落ちてた犬のフンを踏んでしまった	運が付いたと思おう
talk: 風邪かも	お大事に
talk: ゲームで全ロスした	ご愁傷様です
talk: 低気圧のせいで頭が痛い	今日はゆっくりしよう
talk: 分からなくて全然理解できなくてやばいって思ってます。	まずはコードを動かして、print文を入れながら理解を深めよう！
talk: 乗る電車間違えた	間に合えば大丈夫！
talk: 今日の振り返り	自分が気にしてても相手は気にしてないよ
talk: 寝過ごした	私も１時間くらい寝過ごしたことあるから大丈夫！
talk: 推しがクビになった	推しのセカンドキャリアも応援しよう
talk: JCB使えなかった	そんなお店願い下げだわ
talk: 今回解いた問題の判定がTLEばかりでメンタルがやられました。	TLEは辛いよね、計算量をしっかり考えてみよう！
talk: 楽しい	よかった！
talk: AtCoderですがログインすることができずまだ演習ができておりません。	すぐログインできるようになろう
talk: バイト先のシフト減った	他を探してみてもいいかも
talk: コップを落としてしまった	新しいものを買おう
talk: 誰からもLINE来ない	私もだよ！
talk: すごく時間がかかってしまいました	紙とペンで整理してみよう！
talk: アルゴリズムが本当に難しい。	わかります。一つでも理解できれば上出来
talk: フォロワーにブロックされた	あなたとは相性が合わなかっただけ
talk: スタバの新作高すぎ	幸せの代金
talk: あと残り3回と知って焦っています。	3回もあるよ？ポジティブにいこう
talk: 重い仕事を任せられる	君ならできる
talk: 出席忘れた	まだ落単じゃないよ！
talk: お風呂の栓外れてた	それめっちゃショックなやつ…
talk: 物騒で電車に乗りたくない	だね、スマホに見入ったり、寝たりしないようにしてい気をつけよう！
talk: 財布落とした	クレカ止めて！
talk: トイレが混雑していた	女子はねぇ…
talk: 周りに早い友人が多くて焦ります。	追いつけるように頑張ってみよう！
talk: 全然遅れが巻き返せないです。	友だちと勉強会を企画しよう
talk: 録画してない	親に連絡しよ
talk: 現金忘れた	キャッシュレス還元率高いよ
talk: 第2回目の講義は進みませんでした。	来週までにもう一度チャレンジしてみよう！
talk: Gだ	逃げるぞ
talk: ヘアアイロン持ってき忘れた	イメチェンできるね
talk: チケット取れなかった	次とれるよ
talk: チケット売り切れてた	ライヴビューイングや配信を待とう。
talk: 問題を解くスピードがかなり遅いのですが大丈夫でしょうか。	ゆっくりやってこ
talk: 最初は感覚や文法が思い出せずに苦戦した。	だんだん感覚が戻ってきますよ、頑張って！
talk: 勉強にがて	自分が手を出せそうに思ったところからとりあえずやってみよう
talk: 自分のするべきことがわからない	出来ることから始めよう
talk: バイト長引いた	給料日の自分が喜ぶ！
talk: リストの範囲が難しく感じた。	リストは苦手な人が多い範囲です、丁寧に学習を進めよう！
talk: 猫の手借りたい…	ฅ^•·̫•^ฅ貸そうか？
talk: 勉強がうまくいかない	誰かと一緒にやろう
talk: 準備大変	大変な思いはいつか報われるよ
talk: 充電し忘れた	短期集中できるね
talk: 骨折した	お大事に
talk: ゴキブリが出た	怖すぎ
talk: 友達欲しい	もう友達じゃん
talk: 講義動画見忘れた	1回くらいなら大丈夫だよ
