折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
ファイルからバイナリ書き込みストリームをオープンして]、fとする	f = open(filepath, mode='wb')
文字列で区切って2つの数値を表示する	print(value, value2, sep=s)
リストとイテラブルをつなぐ	itertools.chain(iterable, iterable2)
ヒストグラムを描画して、色をダークグレーに変更する	plt.hist(データ列, color='darkgrey')
要素がセットのメンバーでないか調べる	element not in aSet
タプルの平均	sum(aTuple)/len(aTuple)
xの小数点以下'1'桁まで表示する	print(':.1f'.format(x))
ヒストグラムを描画して、色をプラムに設定する	plt.hist(データ列, color='plum')
カウンタのそれぞれの項目を、そのカウントだけ列挙する	aCounter.elements()
表データを二つの列を用いてで降順にソートする	df.sort_values(by=['A', 'B'], ascending=False)
文字列を太字でプリントできる文字列に変換する	f'\033[1m{value}\033[0m'
＜オプション＞シャルトリューズを使う	color = 'chartreuse'
＜オプション＞ダークターコイズを使用する	color = 'darkturquoise'
文字列全体がパターンに複数行対応としてマッチするか確認する	re.fullmatch(pattern, s, flags=re.MULTILINE)
イテラブルから配列を作る	np.array(iterable)
列の値でデータフレームをNaNを含めて集約する	df.groupby(column, dropna=False)
ファイルからストリームを開いて]、fileとする	file = open(filepath)
リストとデータ列のカラーコードの暗いを描く	plt.plot(xdata, ydata, linestyle='dark', color=rgb)
折れ線グラフの色を貝殻にする	plt.plot(データ列, データ列2, color='seashell')
リストと数列のカラーコードの暗いグラフを描画する	plt.plot(xdata, ydata, linestyle='dark', color=rgb)
データフレームの指定した列をリストにする	df[column].values.tolist()
文字列をコロンによって区切り、、列挙する	s.split(':')
標準入力を用いる	sys.stdin
データフレームのリストカラムのpercentパーセンタイルを計算する	df[aList].quantile(percent/100)
線グラフの色をミディアムバイオレットレッドに指定する	plt.plot(データ列, データ列2, color='mediumvioletred')
ふたつの集合に共通する要素からなる集合	aSet.intersection(aSet2)
散布図をカラーコードのバツマーカーで描画する	plt.plot(xdata, ydata, marker='x', c=rgb)
▽マーカーとして散布図を描画する	plt.plot(xdata, ydata, marker='v')
データフレームの列の値がxより小さい行を抽出する	df[df[column] < x]
黒い左三角マーカーを散布図に使う	plt.plot(xdata, ydata, marker='<', c='k')
明るいの折れ線グラフの色をカラーコードに設定する	plt.plot(xdata, ydata, linestyle='bright', color=rgb)
配列を中央値でビン分割する	pd.qcut(aArray, 2)
＜オプション＞スラグレー色を用いる	color = 'slategray'
数列とリストの散布図に左三角マーカーを描く	plt.plot(xdata, ydata, marker='<')
データフレームからランダムに重複ありでn行をサンプリングする	df.sample(n, replace=True)
リストとリストについての散布図を大きさnで描画する	plt.scatter(xdata, ydata, s=n)
空の辞書	{}
黒色の濃いグラフを描く	plt.plot(xdata, ydata, linestyle='deep', color='k')
リストを淡い色のヒストグラムで描画する	plt.hist(xdata, color='muted')
折れ線グラフを描画して、その色を貝殻に設定する	plt.plot(データ列, データ列2, color='seashell')
暗い色のマーカーで散布図を描く	plt.plot(xdata, ydata, c='dark')
整数を浮動小数点数にかける	x * y
リストの最後のn要素を取り除く	aList[:-n]
日付データが土曜日	aDate.weekday() == 5
データフレームの中のカラムを等量でn個にビニングする	pd.qcut(df[col], n)
リストとリストについて破線グラフを描画して、その色を濃いにする	plt.plot(xdata, ydata, linestyle='dash', color='deep')
データ列の日を求める	ds.dt.day
列とイテラブルをペアのリストにする	itertools.zip_longest(iterable, iterable2)
ファイル全体を行分割して読み込む	f.readlines()
日付データををn日後に進める	aDate + datetime.timedelta(days=n)
暗いの折れ線の色をカラーコードに指定する	plt.plot(xdata, ydata, linestyle='dark', color=rgb)
データフレームを各列毎に分類し、、列の標準偏差を求める	df.groupby(column)[column2].std()
データフレームのstart行目からend行目までを抽出する	df[start:end]
辞書をソートしてJSON形式の文字列に変換する	json.dumps(aDict, ensure_ascii=False, sort_keys=True)
日付データのデータフレームのカラムをインデックスにする	df.index = pd.DatetimeIndex(df[col])
＜オプション＞グラフの色を深紅に設定する	color = 'crimson'
菱形マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='D')
データ列の曜日名	ds.dt.weekday_name
ヒストグラムでカラーマップを使う	"plt.hist(データ列, color=plt.get_cmap(""Spectral""))"
リストとリストの青色の明るいグラフを描画する	plt.plot(xdata, ydata, linestyle='bright', color='b')
淡いグラフの色をカラーコードに指定する	plt.plot(xdata, ydata, linestyle='muted', color=rgb)
データフレームの列がx、かつ列がx2である行を取り出す	df[(df[column] == x) & (df[column2] == x2)]
＜オプション＞グラフの色をカーキに設定する	color = 'khaki'
変数を緑色でプリントできる文字列に変換する	f'\033[32m{value}\033[0m'
正規分布で疑似乱数を得る	random.normalvariate(mu=0.5, sigma=0.2)
プロットに凡例を文字列と文字列と表示する	plt.legend([s, s2])
折れ線グラフに黄色いバツ印を描画する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='y')
折れ線グラフを描画して、色をスラグレーに変更する	plt.plot(データ列, データ列2, color='slategray')
データフレームのリスト列の相関行列をヒートマップを用いて描画する	sns.heatmap(df[aList].corr())
ヒストグラムを描画して、その色をライムグリーンに指定する	plt.hist(データ列, color='limegreen')
リストと配列で暗いの折れ線グラフをプロットして、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='dark', color=rgb)
データフレームの中に日付データと文字列があるか調べる	df.isin([value, value2])
リストとデータ列について散布図をプロットしてマーカーの色を濃いにセットする	plt.plot(xdata, ydata, c='deep')
カウンタの要素を増やす	aCounter[element] += 1
リストとして列を選ぶ	df[column].values.tolist()
破線にヒストグラムの線のスタイルを指定する	plt.hist(データ列, linestyle='dashed')
＜オプション＞ヘッダを連番に設定する	header = None
データフレームのリスト列の相関行列スピアマンを用いて	df[aList].corr(method='spearman')
データフレームを列でグループ化し要約統計量を求める	df.groupby(column).describe()
実行を適切に終了する	sys.exit(0)
線グラフの色を耐火レンガに変更する	plt.plot(データ列, データ列2, color='firebrick')
データフレームを各列と列の組み合わせ毎にグループ化して個数を求める	df.groupby([column, column2], as_index=False).count()
書き込み用にファイルをEUCで開く]	open(filepath, mode='w', encoding='euc_jp')
折れ線グラフの色をアクアに指定する	plt.plot(データ列, データ列2, color='aqua')
リストとリストについて散布図を描いて、マーカーを大バツに指定する	plt.plot(xdata, ydata, marker='X')
線幅nの△マーカーを折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
空列	[]
二つの文字列を改行で区切ってプリントする	print(value, value2, sep='\n')
スノー色のヒストグラムを描画する	plt.hist(データ列, color='snow')
折れ線グラフの色を貝殻に設定する	plt.plot(データ列, データ列2, color='seashell')
文字列をカンマで分割して列挙する	s.split(',')
変数を緑色で表示できる文字列にする	f'\033[32m{value}\033[0m'
ヒストグラムを描画して色をライトスレイグレーに指定する	plt.hist(データ列, color='lightslategray')
データフレームの列を文字列にリネームする	df.rename(columns={column: name})
グラフに凡例を付ける	plt.legend()
ベクトル間の要素ごとの最大公約数	np.gcd(aArray, aArray2)
ライトグリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='lightseagreen')
エクセルファイルファイルからn番目のシートをデータフレームとして読む	pd.read_excel(filename, sheet_name=n)
既存のファイルをSJISを用いて追加できるようにオープンする]	open(filepath, mode='a', encoding='shift_jis')
UTF8でファイルをオープンする]	open(filepath, encoding='utf-8')
折れ線グラフのクロスマーカーを黒くする	plt.plot(データ列, データ列2, marker='x', markerfacecolor='k')
下三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='v')
ヒストグラムを描画して色をダークバイオレットに設定する	plt.hist(データ列, color='darkviolet')
日付データにn分分加える	aDate + datetime.timedelta(minutes=n)
本日の日	datetime.datetime.today().day
両端キューをリストに変換する	list(deq)
タプルにキーが存在するか	key not in aDict
小数点数の余弦	math.cos(x)
文字列がタイトルケースか調べる	s.istitle()
パステル調の色をプロットの描画で使う	sns.set(pallete='pastel')
ファイルパスをBOM付きで書き込み用にオープンする]	open(filepath, mode='w', encoding='utf_8_sig')
グラフにy=0の一点鎖線を付ける	plt.axhline(y=0, linestyle='dashbot')
ヒストグラムを描画して色をレベッカパープルに設定する	plt.hist(データ列, color='rebeccapurple')
x軸のラベルをuntitledに指定する	plt.xlabel(untitled)
折れ線グラフの色をバイオレットに設定する	plt.plot(データ列, データ列2, color='violet')
文字列が全てアルファベットか判定する	s.isalpha()
日付時刻データが月曜日か調べる	aDatetime.weekday() == 0
＜オプション＞シアン色を用いる	color = 'cyan'
グラフのカラーパレットをpalleteNameで指定する	sns.set(pallete=palleteName)
ヒストグラムの色をサンディーブラウンに変更する	plt.hist(データ列, color='sandybrown')
タプルの項目名を要素に設定する	aDict[key] = element
折れ線グラフを描画してその色をミディアムアクアマリンにする	plt.plot(データ列, データ列2, color='mediumaquamarine')
データフレームの中の列を等しい量になるようにビン数nでビン分割する	pd.qcut(df[col], n)
ロージーブラウン色のヒストグラムを描画する	plt.hist(データ列, color='rosybrown')
黒いバツマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='x', c='k')
リストを中央値でビン分割する	pd.qcut(aList, 2)
リストとイテラブルとして淡いグラフを描画し、、線幅をnに設定する	plt.plot(xdata, ydata, linestyle='muted', linewidth=n)
＜オプション＞グラフの色をスカイブルーに変更する	color = 'skyblue'
ヒストグラムを描画して、その色をダークグレーに変更する	plt.hist(データ列, color='darkgray')
数列とリストについての散布図に黒い三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', c='k')
折れ線グラフを描画して、色をゴールデンロッドに変更する	plt.plot(データ列, データ列2, color='goldenrod')
データフレームの列のNaNを直前の値に設定する	df[col].fillna(method='ffill')
出力ストリーム全体を行単位で分割してリストにする	[s.strip() for s in f.readlines()]
折れ線グラフの下三角印を黒くする	plt.plot(データ列, データ列2, marker='v', markerfacecolor='k')
ヒストグラムを描画して、その色をアイボリーに設定する	plt.hist(データ列, color='ivory')
データフレームを'A'列の値によってグループ化し、要約統計量を算出する	df.groupby('A').describe()
実行結果を緑色でプリントできる文字列に変換する	f'\033[32m{value}\033[0m'
ビン数nとしてリストをビン分割する	pd.cut(aList, n)
＜オプション＞バツマーカーを描画する	marker = 'x'
柱状図を描画し、、半透明ににする	plt.hist(データ列, alpha=0.5)
カラーコードのバツマーカーで散布図を描く	plt.plot(xdata, ydata, marker='x', c=rgb)
折れ線グラフの色を紺に設定する	plt.plot(データ列, データ列2, color='darkblue')
1行標準入力から読む	sys.stdin.readline()
データフレームの列を最初のカテゴリーを除外してダミー変数に変換する	pd.get_dummies(df[column], drop_first=True)
year年day月を日付時刻に変換する	datetime.datetime(year=year, month=month, day=1)
値が集合に含まれないか調べる	element not in aSet
一番左側の列をデータフレームから除く	df[df.columns[1:]]
太字でリストを表示する	print(f'\033[1m{value}\033[0m')
文字列がパターンにマッチさせる	re.match(pattern, s)
折れ線グラフの色をダークオーキッドに指定する	plt.plot(データ列, データ列2, color='darkorchid')
ヒストグラムを描画してその色をパールゴールデンロッドに設定する	plt.hist(データ列, color='palegoldenrod')
オブジェクトは浮動小数点数クラスか	isinstance(obj, float)
データ列の未入力値をxで埋める	ds.fillna(x)
＜オプション＞ミディアムバイオレットレッドに色を変更する	color = 'mediumvioletred'
折れ線グラフの▲印を青くする	plt.plot(データ列, データ列2, marker='^', markerfacecolor='b')
データ列の文字列長を列として見る	ds.str.len()
全要素が1の行列	np.ones(行数, 列数, dtype=np.int)
線グラフを描画してその色をライトシアンに設定する	plt.plot(データ列, データ列2, color='lightcyan')
ヒストグラムを描画して、その色をブラックに設定する	plt.hist(データ列, color='black')
日付データををn秒後に進める	aDate + datetime.timedelta(seconds=n)
データフレームを表示するとき、小数点以下の表示精度を指定する	pd.set_option('precision', n)
リストを昇順に並べる	sorted(aList, reverse=False)
リストとリストの折れ線を描画して、untitledとラベル付けする	plt.plot(xdata, ydata, label=untitled)
＜オプション＞パレットトルコイズ色を使う	color = 'paleturquoise'
＜オプション＞n番目のカラムをインデックスに設定する	index_col = n
数列と配列についての散布図にカラーコードの下三角マーカーを描く	plt.plot(xdata, ydata, marker='v', c=rgb)
折れ線グラフのバツ印を青くする	plt.plot(データ列, データ列2, marker='x', markerfacecolor='b')
文字列を部分文字列で区切って、文字列リストに変換する	s.split(sub)
オブジェクトのプロパティの値を求める	getattr(obj, プロパティ名)
数値をシアンで出力する	print(f'\033[36m{value}\033[0m')
データフレームのリスト列のNaNを前の行の値に設定する	df[aList].fillna(method='ffill')
辞書をカウンタに変換する	collections.Counter(aDict)
スクリプトファイルと同じディレクトリのファイルパスのパス	os.path.join(os.path.dirname(os.path.abspath(__file__)), filepath)
イテラブルと配列の散布図を暗い色を用いて描画する	plt.plot(xdata, ydata, c='dark')
データフレームとデータフレームの列を横方向につなぐ	pd.concat([df, ds], axis=1)
データフレームの列がリストに含まれる行を抽出する	df[df[column].isin(aList)]
データフレームを'A'列と'B'列によってで降順に並べる	df.sort_values(by=['A', 'B'], ascending=False)
データフレームを表示するとき、ヘッダー行を右寄せに変更する	pd.set_option('colheader_justify', 'right')
実数が整数か調べる	x.is_integer()
折れ線グラフの四角印のサイズをnに設定する	plt.plot(データ列, データ列2, marker='s', markersize=n)
ヒストグラムを描画して、色を茶色に設定する	plt.hist(データ列, color='brown')
＜オプション＞グラフの色を淡いピンク色に設定する	color = 'lightpink'
線グラフの色をミディアムスプリンググリーンに設定する	plt.plot(データ列, データ列2, color='mediumspringgreen')
ヒストグラムを描画して、その色をレモンシフォンに変更する	plt.hist(データ列, color='lemonchiffon')
データ列とリストについての散布図に黒い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', c='k')
文字列のn番目	s[n]
ヒストグラムを描画してその色をホワイトスモークにする	plt.hist(データ列, color='whitesmoke')
TSVをデータフレームとして読み込む	pd.read_csv(filename, sep='\t', encoding='shift_jis')
折れ線グラフのポイント印を赤くする	plt.plot(データ列, データ列2, marker='.', markerfacecolor='r')
カラーコードのポイントマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='.', c=rgb)
表データの行がnの行を取り出す	df.loc[n]
データフレームから最初の列を除く	df[df.columns[1:]]
折れ線グラフに黒い左三角マーカーを描画する	plt.plot(データ列, データ列2, marker='<', markerfacecolor='k')
インデックスを付けずにデータフレームをJSONLファイルに保存する	df.to_csv(filename, index=None)
＜オプション＞グラフの色をインディアンレッドに指定する	color = 'indianred'
データ列とリストについてリストの値に応じて散布図の色を変える	plt.scatter(xdata, ydata, c=aList, cmap='Blues')
ヒストグラムの色をダークオリーブグリーンにする	plt.hist(データ列, color='darkolivegreen')
カウンタの上位を列挙する	aCounter.most_common(k)
ヒストグラムを描画して、その色をラベンダーに設定する	plt.hist(データ列, color='lavender')
リストと数列で淡いグラフを描画して、その線幅をnに変更する	plt.plot(xdata, ydata, linestyle='muted', color=rgb)
＜オプション＞ダークグレーに色を設定する	color = 'darkgrey'
ヒストグラムを描画してその色をフローラルホワイトにセットする	plt.hist(データ列, color='floralwhite')
カデットブルーにヒストグラムの色を設定する	plt.hist(データ列, color='cadetblue')
散布図にカラーコードの丸マーカーを使う	plt.plot(xdata, ydata, marker='o', c=rgb)
カウンタから辞書を引く	aCounter.subtract(aDict)
配列を元に全要素が1の配列	np.ones_like(aArray)
線グラフを描画して、色をコーラルに指定する	plt.plot(データ列, データ列2, color='coral')
＜オプション＞四角印を使う	marker = 's'
ファイル名がテキストファイルか確認する	filename.endswith('.txt')
文字列の最初を使う	s[0]
長さnのリスト	[0] * n
整数型の全要素を０で初期化された行列	np.zeros(行数, 列数, dtype=np.int)
ファイルをBOM付きとしてオープンする]	open(filepath, encoding='utf_8_sig')
＜オプション＞ペルー色を使う	color = 'peru'
データフレームのインデックスの名前のリスト	df.index
文字列中に部分文字列が存在する	sub in s
散布図に四角マーカーを使う	plt.plot(xdata, ydata, marker='s')
二次元リストの転置行列を算出する	[list(x) for x in list(zip(*aList))]
＜オプション＞ダイアモンド印を使う	marker = 'D'
8進文字列を整数にする	int(s, 8)
折れ線グラフを描画して、その色をサンディーブラウンに設定する	plt.plot(データ列, データ列2, color='sandybrown')
イテラブルとリストの濃いグラフを描画して、色を黒にする	plt.plot(xdata, ydata, linestyle='deep', color='k')
散布図を大バツマーカーでプロットする	plt.plot(xdata, ydata, marker='X')
＜オプション＞グラフの色をオールドレースに設定する	color = 'oldlace'
ヒストグラムの色をプラムに設定する	plt.hist(データ列, color='plum')
データフレームのリストカラムの中に含まれる日付データの数を数える	df[aList].isin([value]).sum()
Pandasで、文字列を書式fmtで日付データに変換する	pd.to_datetime(s, format=fmt)
JSONファイルファイル名がかどうか調べる	filename.endswith('.json')
アクアにヒストグラムの色を設定する	plt.hist(データ列, color='aqua')
プロットの色を全般的に淡くする	sns.set(pallete='muted')
折れ線グラフの色を黄緑に設定する	plt.plot(データ列, データ列2, color='chartreuse')
文字列が全て十進数字	s.isdecimal()
ヒストグラムの色をナバホホワイトに指定する	plt.hist(データ列, color='navajowhite')
データフレームを'A'列の値によって集約し、、列挙する	[(name, group) for name, group in df.groupby('A')]
データフレームのカラムの第一四分位数	df[col].quantile(0.25)
データフレームの列の値を正規表現patternでreplにまとめて変更する	df[col].replace(pattern, repl, regex=True)
折れ線グラフの色をコーラルに指定する	plt.plot(データ列, データ列2, color='coral')
タプルのキーとその値をペアとして取り出す	aDict.items()
サインの逆数	math.asin(x)
昇順にリストの要素をソートする	sorted(aList, reverse=False)
リストと数列について破線グラフを描画して、その色をパステル調のに設定する	plt.plot(xdata, ydata, linestyle='dash', color='pastel')
＜オプション＞ゲインズボロ色を使う	color = 'gainsboro'
入力ストリームからn文字、読み込む	f.read(n)
ファイルパスが存在する	os.path.exists(filepath)
マップの値として要素が含まれている	element in aDict.values()
ヒストグラムの色をミディアムバイオレットレッドに変更する	plt.hist(データ列, color='mediumvioletred')
シアン色のヒストグラムを描画する	plt.hist(データ列, color='cyan')
ヒストグラムを描画して、その色をターコイズに設定する	plt.hist(データ列, color='turquoise')
正規表現にマッチした文字列を新しい文字列で置き換える	re.sub(pattern, newsub, s)
リストから行列を作る	np.array(aList)
実数の平方根	math.sqrt(x)
一番右の列をデータフレームから消す	df[df.columns[:-1]]
折れ線グラフの色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgrey')
中央値でデータフレームの欠損値を置換する	df.fillna(df.median())
エポック秒のデータ列からPandasの日付型に変換する	pd.to_datetime(ds, unit='s', utc=True)
データフレームを二つの列によってで降順にソートする	df.sort_values(by=['A', 'B'], ascending=False)
マッピングのキーとその項目をペアとして取り出す	aDict.items()
ヒストグラムを描画して、その色をダークバイオレットにする	plt.hist(データ列, color='darkviolet')
nの3乗を求める	n ** 3
複数のシートをファイルから読み込む	pd.read_excel(filename, sheet_name=[n, n2])
折れ線グラフの色をダークレッドに変更する	plt.plot(データ列, データ列2, color='darkred')
データフレームのリスト列の中にと日付データがいくつ含まれるか数える	df[aList].isin([value, value2]).sum()
＜オプション＞丸マーカーを描画する	marker = 'o'
＜オプション＞ライトゴールドロディイエロー色を使う	color = 'lightgoldenrodyellow'
データフレームの中の列をビン数nを用いてビン分割する	pd.cut(df[col], n)
標準出力の出力先がターミナルか調べる	os.isatty(sys.stdin.fileno())
＜オプション＞色をブルーバイオレットに設定する	color = 'blueviolet'
ミディアムターコイズ色のヒストグラムを描画する	plt.hist(データ列, color='mediumturquoise')
NaNも加えてデータフレームの列をワンホット・ベクトルに変換する	pd.get_dummies(df[column], dummy_na=True)
＜オプション＞デピンクを使う	color = 'deeppink'
リストの最後	aList[-1]
凡例をグラフに入れる	plt.legend()
データフレームのカラムを百の位で丸める	df[col].round(-2)
今日の年数を使う	datetime.datetime.today().year
折れ線グラフの星印の大きさをnに指定する	plt.plot(データ列, データ列2, marker='*', markersize=n)
データフレームの欠損値を直前の値に指定する	df.fillna(method='ffill')
ヒストグラムを描画してその色をサドルブラウンに指定する	plt.hist(データ列, color='saddlebrown')
文字列が文字列より辞書順で後か調べる	s > s2
文字列中の部分文字列を新しい文字列に全部置換する	s.replace(sub, newsub)
＜オプション＞シーグリーン色を使う	color = 'seagreen'
正規表現に大文字・小文字を無視して文字列の先頭でマッチさせる	re.match(pattern, s, flags=re.IGNORECASE)
一点鎖線で折れ線グラフを描画する	plt.plot(データ列, データ列2, linestyle='dashbot')
ダークグレー色のヒストグラムを描画する	plt.hist(データ列, color='darkgrey')
折れ線グラフを描画して、その色を青緑に指定する	plt.plot(データ列, データ列2, color='teal')
データフレームから指定された列を取り出す	df[[column]]
線グラフを描画してその色をダークスレートブルーに設定する	plt.plot(データ列, データ列2, color='darkslateblue')
浮動小数点数を十六進文字列にする	x.hex()
numpyを使用する	import numpy as np
折れ線グラフの色をマゼンタに設定する	plt.plot(データ列, データ列2, color='magenta')
nはn2と等しい	n == n2
ヒストグラムを描画して、その色を青緑に設定する	plt.hist(データ列, color='teal')
文字列の先頭でパターンに大文字・小文字を無視してマッチするか調べる	re.match(pattern, s, flags=re.IGNORECASE)
あらかじめ正規表現をコンパイルする	re.compile(pattern)
オブジェクトはリストかタプルか調べる	isinstance(obj, (list)
データフレームのリストカラムの欠損値を最小値で埋める	df[aList].fillna(df[aList].min())
折れ線グラフの色をライトゴールドロディイエローに設定する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
データフレームを列によって並べ、NaNを先頭にする	df.sort_values(by=column, na_position='first')
文字列にシーケンスを変換して、'改行で連結する	'\n'.join(map(str, iterable))
＜オプション＞色をアイボリーに設定する	color = 'ivory'
変数を下線付きでプリントできる文字列に変換する	f'\033[4m{value}\033[0m'
折れ線グラフを描画して、その色をティールに変更する	plt.plot(データ列, データ列2, color='teal')
＜オプション＞スプリンググリーンにグラフの色を設定する	color = 'springgreen'
オブジェクトは論理値クラスのインスタンスか調べる	isinstance(obj, bool)
配列の最小値	np.min(aArray)
＜オプション＞印を▼に変更する	marker = 'v'
折れ線グラフを一点鎖線に設定する	plt.plot(データ列, データ列2, linestyle='dashbot')
プログラムのファイルの名前を知る	sys.argv[0]
折れ線グラフを描画して、色をミディアムシアグリーンに変更する	plt.plot(データ列, データ列2, color='mediumseagreen')
＜オプション＞ブラウンを使う	color = 'brown'
イテラブルから双方向キューを生成する	collections.deque(iterable)
イテラブルを累積した列を得る	itertools.accumulate(iterable, operator.mul)
＜オプション＞レベッカパープルに色を指定する	color = 'rebeccapurple'
カウンタ同士で交わり演算する	aCounter & aCounter2
暗いグラフの線幅をnに変更する	plt.plot(xdata, ydata, linestyle='dark', linewidth=n)
実数の小数部	math.modf(x)[0]
ヒストグラムを描画して、その色を暗い赤に設定する	plt.hist(データ列, color='darkred')
BOM付きで追加できるように既存のファイルパスをオープンする]	open(filepath, mode='a', encoding='utf_8_sig')
折れ線グラフを描画して、その色をライトゴールドロディイエローに設定する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
nが正の整数	n > 0
データフレームのカラムのどの値が頻出か調べる	df[col].mode()
折れ線グラフを描画して、その色をミスティローズに設定する	plt.plot(データ列, データ列2, color='mistyrose')
暗いグラフの色を黒くする	plt.plot(xdata, ydata, linestyle='dark', color='k')
＜オプション＞ライトコーラル色を用いる	color = 'lightcoral'
文字列を部分文字列で区切り、、文字列リストに変換する	s.split(sub)
折れ線グラフの印を右三角印にする	plt.plot(データ列, データ列2, marker='>')
線グラフを描画して、色をゲインズボロに設定する	plt.plot(データ列, データ列2, color='gainsboro')
ロイヤルブルー色のヒストグラムを描画する	plt.hist(データ列, color='royalblue')
行列の転置行列	aArray.T
カラーコードの左三角マーカーを配列とリストについての散布図にプロットする	plt.plot(xdata, ydata, marker='<', c=rgb)
二つのデータフレームを結合する	pd.merge(df, df2)
空白で最後から文字列を分割する	s.rsplit()
ヒストグラムを描画してその色をラベンダーに設定する	plt.hist(データ列, color='lavender')
文字列の示すエンコーディングでファイルパスを書き込みできるようにオープンする]	open(filepath, mode='w', encoding=s)
リストとリストの黒いパステル調のグラフを描画する	plt.plot(xdata, ydata, linestyle='pastel', color='k')
シーケンスを累積する	itertools.accumulate(iterable, operator.mul)
データ列の欠損値を中央値に設定する	ds.fillna(ds.median())
文字列の開始位置番目と終了位置番目の間に部分文字列が含まれないかどうか確認する	s.find(sub, start, end) == -1
文字列の最後から部分文字列を探す	s.rfind(sub)
イテラブルを色差別ない色のヒストグラムで描画する	plt.hist(xdata, color='colorblind')
表を配列にする	df.values
タプルの末尾を取り除く	aTuple[:-1]
明るいグラフの線幅をnに変更する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
＜オプション＞グラフの色をスチールブルーに変更する	color = 'steelblue'
文字列を緑色でプリントできる文字列に変換する	f'\033[32m{value}\033[0m'
ヒストグラムの色をライトグリーンに設定する	plt.hist(データ列, color='lightgreen')
項目名が辞書にあるか調べる	key not in aDict
明るいグラフを描画してその線幅をnに変更する	plt.plot(xdata, ydata, linestyle='bright', color='r')
改行せず二つの変数をプリントする	print(value, value2, end='')
JSON文字列をデータに変換する	json.loads(b.decode('unicode-escape'))
折れ線グラフにポイントマーカーを使用する	plt.plot(データ列, データ列2, marker='.')
ミッドナイトブルー色のヒストグラムを描画する	plt.hist(データ列, color='midnightblue')
カラーコードのダイアモンドマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='D', c=rgb)
折れ線グラフの色を紺碧に変更する	plt.plot(データ列, データ列2, color='azure')
線グラフの色をカーキに変更する	plt.plot(データ列, データ列2, color='khaki')
線グラフの色をサドルブラウンに設定する	plt.plot(データ列, データ列2, color='saddlebrown')
列を累積したイテラブルを求める	itertools.accumulate(iterable, operator.mul)
明るいグラフの色を青にする	plt.plot(xdata, ydata, linestyle='bright', color='b')
＜オプション＞色を白にセットする	color = 'white'
日付時刻データの日付を見る	aDatetime.date()
折れ線グラフを描画して、その色をアンティークホワイトに変更する	plt.plot(データ列, データ列2, color='antiquewhite')
＜オプション＞グラフの色をやわらかい青に設定する	color = 'cornflowerblue'
xが1もしくは2もしくは3に等しいか調べる	x == 1 or x == 2 or x == 3
＜オプション＞グラフの色をミディアムシアグリーンにセットする	color = 'mediumseagreen'
データフレームのカラムが正規分布からどの程度、歪んでいるか見る	df[col].kurt()
ピアソン相関係数としてデータフレームの列と列の相関行列	df[[column, column2]].corr(method='pearson')
数値を黄色で出力する	print(f'\033[33m{value}\033[0m')
ヒストグラムを描画して、その色をミディアムアクアマリンに設定する	plt.hist(データ列, color='mediumaquamarine')
折れ線グラフを描画して、その色を暗い赤にする	plt.plot(データ列, データ列2, color='darkred')
ファイル全体をリストにする	[s.strip() for s in f.readlines()]
データフレームを列を用いて降順に破壊的に整列する	df.sort_values(by=column, ascending=False, inplace=True)
変数について数式を積分する	sympy.integrate(e, z)
配列をリストから作る	np.array(aList)
ValueMapでデータフレームの列の値を一度に置き換える	df[col].replace(ValueMap)
ファイルをSJISを用いて追加できるように開く]	open(filepath, mode='a', encoding='shift_jis')
実数の逆双曲線正接	math.atanh(x)
列を累加した列	itertools.accumulate(iterable)
シエナ色のヒストグラムを描画する	plt.hist(データ列, color='sienna')
列'A'と列'B'をキーとして２つのデータフレームを内部結合する	pd.merge(df, df2, left_on=column, right_on=column2, how='inner')
タプル内の要素が少なくとも一つ真	any(aTuple)
折れ線グラフのスタイルを点線に指定する	plt.plot(データ列, データ列2, linestyle='dotted')
左三角マーカーで散布図をプロットする	plt.plot(xdata, ydata, marker='<')
実数を切り下げる	math.floor(x)
列と列の重複を取り除く	df.drop_duplicates(subset=[column, column2])
データフレームの列の中にいくつ文字列が存在するか数える	df[col].isin([value]).sum()
＜オプション＞アリスブルー色を使う	color = 'aliceblue'
アイリスのデータセットをロードする	sns.load_dataset('iris')
二つのデータフレームを列'A'と列'B'をキーにして内部結合する	pd.merge(df, df2, left_on=column, right_on=column2, how='inner')
黒色の大バツマーカーを散布図に使う	plt.plot(xdata, ydata, marker='X', c='k')
