option: 赤色を使う	color = 'red'
n個の集まりからk個重複なく選ぶ方法	math.comb(n, k)
option: セパレータをスラッシュにする	sep = '/'
横棒プロットを積み上げにする	plt.barh(ラベル列, データ列, bottom=データ列y, color='#800080')
折れ線グラフの色をダークスラテグレーに設定する	plt.plot(データ列x, データ列y, color='darkslategray')
リストと配列についての散布図に大バツマーカーを描く	plt.plot(データ列x, データ列y, marker='X')
横棒グラフをピーチパフ色で描画する	plt.barh(データ列x, データ列y, color='peachpuff')
リストをナンバリングする	enumerate(aList)
実数の逆双曲線正弦	math.asinh(x)
文字列は全て数値か	s.isnumeric()
サンディーブラウン色として横棒グラフを描画する	plt.barh(データ列x, データ列y, color='sandybrown')
日付時刻データを浮動小数点数に変換する	aDatetime.timestamp()
シスル色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='thistle')
文字列を部分文字列で分けたときの後半の文字列を取り出す	s.partition(sub)[-1]
ヒストグラムの色をダークグリーンに設定する	plt.hist(データ列, color='darkgreen')
乱数生成系列をnで初期化する	random.seed(n)
日付データが何月か知る	aDate.month
散布図の色をピンクにする	plt.scatter(データ列x, データ列y, color='pink')
空のロバスト分類モデルを作る	model = sklearn.linear_model.RANSACClassifier(random_state=0)
散布図をダークターコイズ色で描画する	plt.scatter(データ列x, データ列y, color='darkturquoise')
リストとリストについての散布図に赤い丸マーカーを描画する	plt.plot(データ列x, データ列y, marker='o', c='r')
option: タン色を使う	color = 'tan'
折れ線グラフの色をナバホホワイトにセットする	plt.plot(データ列x, データ列y, color='navajowhite')
モデルの当てはまりの良さを求める	sklearn.metrics.r2_score(目的変数, model.predict(説明変数))
リストとリストの散布図に黒い大バツマーカーを描画する	plt.plot(データ列x, データ列y, marker='X', c='k')
rgbの▲マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='^', c=rgb)
ヒストグラムをクリムゾン色として描画する	plt.hist(データ列, color='crimson')
option: シートの名前を設定する	sheet_name = ['A', 'B']
表を2つの列によって降順にソートする	df.sort_values(by=['列A', '列B'], ascending=False)
option: マーカーの色をディムグレーにする	markerfacecolor = 'dimgrey'
円グラフでデータ列の割合を可視化する	plt.pie(データ列, startangle=90)
折れ線グラフの色をホットピンクに設定する	plt.plot(データ列x, データ列y, color='hotpink')
データフレームのあるカラムの曜日が何日目か見る	df['列A'].dt.dayofweek
折れ線グラフの色をダークマゼンタにセットする	plt.plot(データ列x, データ列y, color='darkmagenta')
折れ線グラフをライトグリーン色で描画する	plt.plot(データ列x, データ列y, color='lightseagreen')
option: マーカーの色をダークマゼンタにする	markerfacecolor = 'darkmagenta'
データフレームからランダムに5行を抽出する	df.sample(5)
折れ線グラフを茶色色で描画する	plt.plot(データ列x, データ列y, color='brown')
リストとデータ列についての散布図に黒い▼マーカーを描画する	plt.plot(データ列x, データ列y, marker='v', c='k')
折れ線グラフの▲マーカーの色を変更する	plt.plot(データ列x, データ列y, marker='^', markerfacecolor='#800080')
ライトグリーン色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='lightseagreen')
棒グラフの色を暗い赤にする	plt.bar(データ列x, データ列y, color='darkred')
整数nの2進数文字列	bin(n)[2:]
線形モデルの回帰変数を使う	model.coef_
青紫色としてヒストグラムを描画する	plt.hist(データ列, color='violet')
データフレームの指定したカラムの値が欠損値か調べる	df['列A'].isna()
実数をn乗する	x ** n
タプルの浅いコピーを作る	aDict.copy()
グラフをポスター用に指定する	sns.set(context='poster')
パープル色の線グラフを描画する	plt.plot(データ列x, データ列y, color='purple')
フローラルホワイト色としてヒストグラムを描画する	plt.hist(データ列, color='floralwhite')
指定した列を百の位で丸めて、整数型にする	df['列A'].round(-2).astype(int)
option: ダークマゼンタにグラフの色を設定する	color = 'darkmagenta'
折れ線グラフの色をバイオレットにセットする	plt.plot(データ列x, データ列y, color='violet')
データを最大最小値で標準化する	sklearn.preprocessing.MinMaxScaler().fit_transform(データ)
option: 色をライトサーモンに設定する	color = 'lightsalmon'
データフレームのあるカラムの不偏分散を求める	df['列A'].var(ddof=1)
本日の曜日を整数で使う	datetime.datetime.today().weekday()
線グラフの色をシスルに設定する	plt.plot(データ列x, データ列y, color='thistle')
クリムゾン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='crimson')
日付時刻データをISO8601形式の文字列に変換する	aDatetime.isoformat()
浮動小数点数に実数をかける	x * y
暗い赤にヒストグラムの色を指定する	plt.hist(データ列, color='darkred')
表計算ファイルファイルでデータフレームを書き出す	df.to_excel('file.xlsx')
文字列をシンボルにして変数にする	z = sympy.Symbol(s)
option: マーカーの色をミディアムブルーにする	markerfacecolor = 'mediumblue'
散布図の色をミディアムブルーにする	plt.scatter(データ列x, データ列y, color='mediumblue')
散布図の星マーカーの大きさを変更する	plt.scatter(データ列x, データ列y, marker='*', markersize=2.0)
散布図を暗い赤色で描画する	plt.scatter(データ列x, データ列y, color='darkred')
option: マーカーの色をカーキにする	markerfacecolor = 'khaki'
散布図のバツマーカーの線幅を変更する	plt.scatter(データ列x, データ列y, marker='x', markeredgewidth=2.5)
散布図の色をダークグリーンにする	plt.scatter(データ列x, データ列y, color='darkgreen')
文字列の開始位置からと終了位置の間に部分文字列がある	s.find(sub, start, end) != -1
棒グラフの色をライトシアンにする	plt.bar(データ列x, データ列y, color='lightcyan')
散布図のポイントマーカーの太さを設定する	plt.scatter(データ列x, データ列y, marker='.', markeredgewidth=2.5)
グリッド線	plt.grid(alpha=0.5)
レベッカパープル色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='rebeccapurple')
コーンズシルク色で線グラフを描画する	plt.plot(データ列x, データ列y, color='cornsilk')
線グラフの色をスラグレーに設定する	plt.plot(データ列x, データ列y, color='slategrey')
線グラフをシアン色を用いて描画する	plt.plot(データ列x, データ列y, color='cyan')
ヒストグラムの色をパレットトルコイズに設定する	plt.hist(データ列, color='paleturquoise')
折れ線グラフに青いダイアモンド印を描画する	plt.plot(データ列x, データ列y, marker='D', markerfacecolor='b')
データシリーズを百の位で丸めて、整数型にする	ds.round(-2).astype(int)
変数を緑色でプリントできる文字列に変換する	f'\033[32m{value}\033[0m'
散布図をフクシア色で描画する	plt.scatter(データ列x, データ列y, color='fuchsia')
折れ線グラフに青い星マーカーを描画する	plt.plot(データ列x, データ列y, marker='*', markerfacecolor='b')
データフレームの選択した列を百の位で丸めて、整数にする	df[['列A', '列B']].round(-2).astype(int)
データフレームからカテゴリデータの列名リストを使う	df.select_dtypes('object').columns
分数を分母の最大値を指定して近似する	q.limit_denominator(max_denominator=1000000)
ファイルのディレクトリ名	os.path.dirname(filepath)
日付を表現した文字列を日付データに変換する	pd.to_datetime(日付を表現した文字列)
ヒストグラムをホットピンク色として描画する	plt.hist(データ列, color='hotpink')
配列の値が正規分布にしたがって発生する確率を計算する	scipy.stats.norm.pdf(配列, loc=平均値, scale=標準偏差)
棒グラフをブラック色で描画する	plt.bar(データ列x, データ列y, color='black')
option: グラフの色を青緑に設定する	color = 'teal'
配列のスピアマンの相関係数を求める	scipy.stats.spearmanr(配列, 配列2)
横棒グラフを白色で描画する	plt.barh(データ列x, データ列y, color='white')
ヒストグラムの色をライトスチールブルーに指定する	plt.hist(データ列, color='lightsteelblue')
あるカラムの文字列に部分文字列が含まれる行を取り出す	df[df['列A'].str.contains(部分文字列)]
データを標準化する	sklearn.preprocessing.StandardScaler().fit_transform(データ)
文字列の右側から改行を消す	s.rstrip('\n')
実行結果をシアンで表示できる文字列に変換する	f'\033[36m{value}\033[0m'
データフレームの指定したカラムの欠損値を平均値で埋める	df['列A'].fillna(df['列A'].mean())
横棒グラフをアリスブルー色で描画する	plt.barh(データ列x, データ列y, color='aliceblue')
黄色色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='yellow')
折れ線グラフの右三角マーカーの大きさを変更する	plt.plot(データ列x, データ列y, marker='>', markersize=2.0)
ダークマゼンタ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkmagenta')
ミッドナイトブルーにヒストグラムの色を設定する	plt.hist(データ列, color='midnightblue')
タプルをnからナンバリングする	enumerate(aTuple, start=n)
辞書の内部もコピーする	{k: copy.copy(v) for k, v in aDict.items()}
データフレームの指定したカラムを十の位で四捨五入して整数にする	df['列A'].round(-1).astype(int)
データフレームのn行より前取り出す	df[:n]
青い下三角印を折れ線グラフに描画する	plt.plot(データ列x, データ列y, marker='v', markerfacecolor='b')
ラベンダーにヒストグラムの色を変更する	plt.hist(データ列, color='lavender')
ヒストグラムをコーンズシルク色で描画する	plt.hist(データ列, color='cornsilk')
横棒グラフを描画して、ラベルを中央寄せする	plt.barh(ラベル列, データ列, align='center')
実数を浮動小数点数で割った剰余	math.remainder(x, x2)
折れ線グラフの▽マーカーを赤くする	plt.plot(データ列x, データ列y, marker='v', markerfacecolor='r')
スカイブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='skyblue')
浮動小数点数を複素数にする	complex(x)
リストをnから番号付けする	enumerate(aList, start=n)
折れ線グラフの色をバイオレットに指定する	plt.plot(データ列x, データ列y, color='violet')
ヒストグラムをダークバイオレット色で描画する	plt.hist(データ列, color='darkviolet')
option: グラフの色を赤に設定する	color = 'red'
折れ線グラフに赤いポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.', markerfacecolor='r')
option: グラフの色を青緑に指定する	color = 'teal'
縦棒グラフの色をダークシアンにする	plt.bar(データ列x, データ列y, color='darkcyan')
オブジェクトが整数クラス	isinstance(obj, int)
パープル色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='purple')
散布図をライトシアン色で描画する	plt.scatter(データ列x, データ列y, color='lightcyan')
指定した列リストのみ、データフレームの重複を見る	df.duplicated(subset=['列A', '列B'])
トマト色の線グラフを描画する	plt.plot(データ列x, データ列y, color='tomato')
アイボリー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='ivory')
option: マーカーの色を青緑にする	markerfacecolor = 'teal'
数式の微分を求める	sympy.diff(e)
日付時刻データと日付時刻データの時間差が何分か知る	(aDatetime - aDatetime2).total_seconds()//60
rgbのポイントマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='.', c=rgb)
指定したカラムを四捨五入して、整数にする	df['列A'].round().astype(int)
データフレームから重複したデータを残さず除く	df.drop_duplicates(keep=False)
散布図に赤いクロスマーカーを描画する	plt.scatter(データ列x, データ列y, marker='x', markerfacecolor='r')
データフレームの不偏標準偏差	df.std()
データ列をビン数nでビン分割する	pd.cut(ds, n)
折れ線グラフの▼マーカーの色を変更する	plt.plot(データ列x, データ列y, marker='v', markerfacecolor='#800080')
ゴールデンロッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='goldenrod')
データフレームの列を折れ線グラフで図示する	plt.plot(df[column], df[column])
散布図の印を赤くする	plt.scatter(データ列x, データ列y, markerfacecolor='r')
コーラル色の線グラフを描画する	plt.plot(データ列x, データ列y, color='coral')
オプションで、標準エラーを用いる	file = sys.stderr
サドルブラウン色としてヒストグラムを描画する	plt.hist(データ列, color='saddlebrown')
多次元データを特異値分解でパステル調に次元に次元削減する	sklearn.decomposition.TruncatedSVD(n_components=N).fit_transform(多次元データ)
黒い▲マーカーで散布図を描く	plt.plot(データ列x, データ列y, marker='^', c='k')
グラフの横軸にラベルを付ける	plt.xlabel('x軸ラベル')
空の辞書を生成する	{}
二つのデータフレームを連結する	pd.concat([df, df2])
二つのデータフレームをジョインする	pd.merge(df, df2)
option: ラベンダー色を使う	color = 'lavender'
レモンシフォン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lemonchiffon')
option: グラフの色をナバホホワイトに設定する	color = 'navajowhite'
コーンフラワーブルー色で散布図を描画する	plt.scatter(データ列x, データ列y, color='cornflowerblue')
散布図のマーカーを星にする	plt.scatter(データ列x, データ列y, marker='*')
プロットを画面用に指定する	sns.set(context='notebook')
折れ線グラフをダークバイオレット色として描画する	plt.plot(データ列x, データ列y, color='darkviolet')
データフレームの選択したカラムの中にいくつ文字列があるか数える	df[['列A', '列B']].isin([value]).sum()
データフレームを全部小数点以下n桁で丸める	df.round(n)
1で全要素を初期化したベクトル	np.ones(要素数, dtype=np.int)
縦棒グラフをベージュ色で描画する	plt.bar(データ列x, データ列y, color='beige')
横棒グラフの色をコーンフラワーブルーにする	plt.barh(データ列x, データ列y, color='cornflowerblue')
ミディアムシアグリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='mediumseagreen')
データフレームを表示するとき表示可能な最大列数を変更する	pd.set_option('display.max_columns', n)
nがn2よりも小さいか調べる	n < n2
棒グラフの色をダークオレンジにする	plt.bar(データ列x, データ列y, color='darkorange')
散布図の色をダークゴールデンロッドにする	plt.scatter(データ列x, データ列y, color='darkgoldenrod')
折れ線グラフをダークカーキ色で描画する	plt.plot(データ列x, データ列y, color='darkkhaki')
ヒストグラムの色をミントクリームに設定する	plt.hist(データ列, color='mintcream')
等間隔でデータ列をn個にビン分割する	pd.cut(ds, n)
散布図の大バツマーカーを黒くする	plt.scatter(データ列x, データ列y, marker='X', markerfacecolor='k')
折れ線グラフをブランチドアーモンド色で描画する	plt.plot(データ列x, データ列y, color='blanchedalmond')
データフレームのNaNを直前の値に設定する	df.fillna(method='ffill')
複数のデータフレームを縦方向に一つにする	pd.concat([df, df2, df3], axis=1)
シエナ色の散布図を描画する	plt.scatter(データ列x, データ列y, color='sienna')
nからn2までのスライス	slice(n, n2)
折れ線グラフの下三角マーカーを青くする	plt.plot(データ列x, データ列y, marker='v', markerfacecolor='b')
散布図をレベッカパープル色で描画する	plt.scatter(データ列x, データ列y, color='rebeccapurple')
配列を等量でn個にビン分割する	pd.qcut(aArray, n)
散布図をコーラル色として描画する	plt.scatter(データ列x, データ列y, color='coral')
ミディアムブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='mediumblue')
散布図をアリスブルー色で描画する	plt.scatter(データ列x, データ列y, color='aliceblue')
リストとリストについての散布図にバツマーカーを描画する	plt.plot(データ列x, データ列y, marker='x')
散布図のポイントマーカーを青色にする	plt.scatter(データ列x, データ列y, marker='.', markerfacecolor='b')
指定したカラムを千の位で丸めて、整数型にする	df['列A'].round(-3).astype(int)
カラムのトリム分散を求める	scipy.stats.tvar(df['列A'], limits=(下限, 上限), inclusive=(True, True))
option: マーカーの色をレモンシフォンにする	markerfacecolor = 'lemonchiffon'
ライトシアン色のヒストグラムを描画する	plt.hist(データ列, color='lightcyan')
折れ線グラフをパパイヤウィップ色として描画する	plt.plot(データ列x, データ列y, color='papayawhip')
棒グラフをインディアンレッド色で描画する	plt.bar(データ列x, データ列y, color='indianred')
双方向キューの左にイテラブルの各要素を順に追加する	deq.extendleft(iterable)
折れ線グラフをゴールド色で描画する	plt.plot(データ列x, データ列y, color='gold')
option: 箱ひげ図に平均を加える	showmeans = False
指定したカラムの標本分散	df['列A'].var(ddof=0)
グラフのフォントを日本語表示に指定する	sns.set(font='IPAexGothic')
折れ線グラフの色を小麦色に設定する	plt.plot(データ列x, データ列y, color='wheat')
ライトスチールブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightsteelblue')
黒いヒストグラムを描画する	plt.hist(データ列, color='k')
青い▲マーカーを散布図に描画する	plt.scatter(データ列x, データ列y, marker='^', markerfacecolor='b')
二つのデータフレームを異なる列をキーにして右結合する	pd.merge(df, df2, left_on='列A', right_on='列B', how='right')
折れ線グラフの大バツ印を青色にする	plt.plot(データ列x, データ列y, marker='X', markerfacecolor='b')
カラーバーを横向きで描く	plt.colorbar(orientation='horizontal')
折れ線グラフをオレンジレッド色で描画する	plt.plot(データ列x, データ列y, color='orangered')
データフレームが正規分布からどれだけ、歪んでいるか見る	df.kurt()
ヒストグラムをベージュ色として描画する	plt.hist(データ列, color='beige')
散布図をネイビー色で描画する	plt.scatter(データ列x, データ列y, color='navy')
重複ありでランダムにn行を表データからサンプリングする	df.sample(n, replace=True)
option: コロンを区切りで用いる	sep = ':'
オリベドラブ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='olivedrab')
折れ線グラフの色をライトグリーンに設定する	plt.plot(データ列x, データ列y, color='lightseagreen')
nの3乗を計算する	n ** 3
棒グラフをチョコレート色として描画する	plt.bar(データ列x, データ列y, color='chocolate')
文字列を評価する	eval(s)
散布図にrgbの左三角マーカーを使う	plt.plot(データ列x, データ列y, marker='<', c=rgb)
色付きの点線としてリストの推移をプロットする	plt.plot(データ列x, データ列y, linestyle='dotted', color='#800080')
データフレームの選択したカラムの欠損値を直前の値に設定する	df[['列A', '列B']].fillna(method='ffill')
線グラフをパープル色を用いて描画する	plt.plot(データ列x, データ列y, color='purple')
散布図をダークマゼンタ色で描画する	plt.scatter(データ列x, データ列y, color='darkmagenta')
横棒グラフをアクアマリン色で描画する	plt.barh(データ列x, データ列y, color='aquamarine')
ヒストグラムの区間を設定する	plt.hist(データ列, range=(start, end))
クラスのサブ型	issubclass(サブクラス, クラス)
文字列を黒色にする	f'\033[30m{value}\033[0m'
ヒストグラムをライトコーラル色で描画する	plt.hist(データ列, color='lightcoral')
二次元リストを転置する	[list(x) for x in list(zip(*aList))]
上限指定をしたデータフレームのカラムの分散を算出する	scipy.stats.tvar(df['列A'], limits=(下限, 上限), inclusive=(True, True))
option: UTF8を使う	encoding = 'utf-8'
パーセプトロンでクラス分類を行う	model = sklearn.neural_network.MLPClassifier(hidden_layer_sizes=(10, 10))
option: 追加モードを使う	mode = 'a'
小数点数の逆双曲線余弦	math.acosh(x)
文字列リストを一つにし、ひとつの文字列にする	''.join(aStringList)
ダークオレンジ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darkorange')
option: 配列のデータ型を指定する	dtype = np.int8
option: アイボリー色を使う	color = 'ivory'
欠損値のある行をドロップする	df.dropna(inplace=True)
文字列の左側から空白を取り除く	s.lstrip(' ')
折れ線グラフの色をシスルに設定する	plt.plot(データ列x, データ列y, color='thistle')
データフレームからカテゴリデータの列名を列挙する	df.select_dtypes('object').columns
サーモン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='salmon')
ヒストグラムをラベンダー色を使って描画する	plt.hist(データ列, color='lavender')
option: ASCII文字に限定する	flag = re.ASCII
option: グラフの色をライトサーモンに指定する	color = 'lightsalmon'
データフレームを散布図で可視化して、カテゴリ別にマーカーを変える	sns.scatterplot(data=df, x='列名', y='列名', style='カテゴリ列')
ミディアムバイオレットレッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='mediumvioletred')
フクシア色のヒストグラムを描画する	plt.hist(データ列, color='fuchsia')
折れ線グラフの色をゴールデンロッドに設定する	plt.plot(データ列x, データ列y, color='goldenrod')
ディムグレー色のヒストグラムを描画する	plt.hist(データ列, color='dimgray')
option: インディゴを使用する	color = 'indigo'
二つのデータフレームを列名を指定して左ジョインする	pd.merge(df, df2, on='列A', how='left')
日付データにn日分加算する	aDate + datetime.timedelta(days=n)
散布図の▲印の色を変える	plt.scatter(データ列x, データ列y, marker='^', markerfacecolor='#800080')
部分文字列が文字列の終了位置より前に存在するかどうか調べる	s.find(sub, 0, end) != -1
折れ線グラフの星印の線幅を変更する	plt.plot(データ列x, データ列y, marker='*', markeredgewidth=2.5)
option: アクアにグラフの色を指定する	color = 'aqua'
白い散布図を描画する	plt.scatter(データ列x, データ列y, color='w')
option: マーカーの色をダークターコイズにする	markerfacecolor = 'darkturquoise'
データフレームをまとめて四捨五入する	df.round()
option: マーカーの色をダークシアンにする	markerfacecolor = 'darkcyan'
データフレームの先頭10行	df.head(10)
ピーチパフ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='peachpuff')
option: ターコイズ色を使う	color = 'turquoise'
ヒストグラムの色をチョコレートに設定する	plt.hist(データ列, color='chocolate')
黄色い横棒グラフを描画する	plt.barh(データ列x, データ列y, color='y')
実数を三乗する	x ** 3
データフレームをグループ化し、ある列に対し分散を求める	df.groupby('列A')['列B'].var()
縦軸の目盛に文字列を付ける	plt.yticks([0, 60, 90], ['不可', '可', '秀'])
辞書をインデント付きで文字列に変換する	json.dumps(aDict, ensure_ascii=False, indent=n)
データフレームのカラムの歪みを算出する	scipy.stats.skew(df['列A'], bias=False)
ファイルをUTF8としてオープンする]	open(filepath, encoding='utf-8')
文字列が全てアスキー文字か	s.isascii()
折れ線グラフのポイントマーカーを黒くする	plt.plot(データ列x, データ列y, marker='.', markerfacecolor='k')
ヒストグラムの色をペールグリーンに変更する	plt.hist(データ列, color='palegreen')
全要素が初期値の行列を作成する	np.full((行数, 列数), 初期値, dtype=np.int)
縦棒グラフをタン色として描画する	plt.bar(データ列x, データ列y, color='tan')
アルファベットの小文字を全部使う	string.ascii_lowercase
色付きの一点鎖線としてデータ列の推移をプロットする	plt.plot(データ列x, データ列y, linestyle='dashbot', color='#800080')
option: マーカーの色をカデットブルーにする	markerfacecolor = 'cadetblue'
シャルトリューズ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='chartreuse')
シルバー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='silver')
数式を積分する	sympy.integrate(e)
オブジェクトが名前付きタプルか調べる	hasattr(obj, '_asdict') and hasattr(obj, '_fields')
ブランチドアーモンド色として棒グラフを描画する	plt.bar(データ列x, データ列y, color='blanchedalmond')
グリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='green')
option: マーカーを星に指定する	marker = '*'
散布図をスラグレー色で描画する	plt.scatter(データ列x, データ列y, color='slategrey')
オレンジレッド色で折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='orangered')
日付時刻データが日付時刻データより後ろか調べる	aDatetime > aDatetime2
nまでの偶整数列	list(range(2, n, 2))
縦棒グラフをロージーブラウン色を使って描画する	plt.bar(データ列x, データ列y, color='rosybrown')
ディープスカイブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='deepskyblue')
データシリーズを十の位で丸めて整数型にする	ds.round(-1).astype(int)
配列のスカラー倍	aArray * n
数値を紫色でプリントできる文字列にする	f'\033[35m{value}\033[0m'
ファイルをBOM付きでオープンする]	open(filepath, encoding='utf_8_sig')
文字列は全て印字できる	s.isprintable()
二つの辞書をチェーンする	collections.ChainMap(aDict, aDict2)
ヒストグラムをライトサーモン色を用いて描画する	plt.hist(データ列, color='lightsalmon')
グリッド線	plt.grid(linewidth=3.0)
ラベンダーブラッシュ色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='lavenderblush')
ヒストグラムの色をミディアムターコイズにする	plt.hist(データ列, color='mediumturquoise')
データフレームから型リストデータ型の列のみ抽出する	df.select_dtypes(include=typeList)
暗い赤色の縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkred')
データフレームをグループ化しある列に対し最大値を計算する	df.groupby('列A')['列B'].max()
ヒストグラムの色をタンに変更する	plt.hist(データ列, color='tan')
正規化されたヒストグラムをプロットする	plt.hist(データ列, density=True)
グラフを論文用に設定する	sns.set(context='paper')
整数nの二進文字列	bin(n)[2:]
CSVファイルをヘッダを指定せず読み込む	pd.read_csv('file.csv', header=None)
option: マーカーをダイアモンドに変更する	marker = 'D'
ライトスレイグレーにヒストグラムの色を変更する	plt.hist(データ列, color='lightslategrey')
データフレームのn行以降抽出する	df[n:]
ヒストグラムの色をオリーブに設定する	plt.hist(データ列, color='olive')
option: 色をミディアムブルーに設定する	color = 'mediumblue'
折れ線グラフの色を紺に設定する	plt.plot(データ列x, データ列y, color='darkblue')
データフレームの標本標準偏差	df.std(ddof=1)
オブジェクトの参照カウント	sys.getrefcount(obj)
option: 先頭の行をカラムの名前に設定する	header = 0
データフレームの選択した列の相関行列をスピアマン相関係数として求める	df[['列A', '列B']].corr(method='spearman')
データフレームの複数の列を削除し、みる	df.drop(['列A', '列B'], axis=1)
散布図に黒い丸マーカーを用いる	plt.plot(データ列x, データ列y, marker='o', c='k')
縦棒グラフの色をダークグリーンにする	plt.bar(データ列x, データ列y, color='darkgreen')
折れ線グラフの色をシスルに指定する	plt.plot(データ列x, データ列y, color='thistle')
文字列が全て英数字	s.isalnum()
棒グラフをライトコーラル色で描画する	plt.bar(データ列x, データ列y, color='lightcoral')
カテゴリで色分けして、データフレームの全カラムの相関を可視化する	sns.pairplot(df, hue='カテゴリ列')
option: マーカーの色をオーキッドにする	markerfacecolor = 'orchid'
ペルー色でヒストグラムを描画する	plt.hist(データ列, color='peru')
数列の相関係数を求める	scipy.stats.pearsonr(数列, 数列2)
コマンドの第二引数を調べる	sys.argv[1]
散布図をゴーストホワイト色で描画する	plt.scatter(データ列x, データ列y, color='ghostwhite')
オリベドラブ色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='olivedrab')
散布図のマーカーを菱形印にする	plt.scatter(データ列x, データ列y, marker='D')
データフレームの中である列に重複があれば、ドロップする	df.drop_duplicates(subset='列A', inplace=True)
折れ線グラフの色をシーグリーンに指定する	plt.plot(データ列x, データ列y, color='seagreen')
ビン数nでデータ列をビン分割する	pd.cut(ds, n)
option: グラフの色をライトグリーンに変更する	color = 'lightseagreen'
浮動小数点数の有理数近似	q.limit_denominator(max_denominator=1000000)
横棒グラフをアイボリー色で描画する	plt.barh(データ列x, データ列y, color='ivory')
小麦色色の散布図を描画する	plt.scatter(データ列x, データ列y, color='wheat')
データフレームの選択したカラムの中にある文字列と文字列の合計を数える	df[['列A', '列B']].isin([value, value2]).sum()
表データのあるカラムを日付データに変換し、インデックスにする	df.index = pd.DatetimeIndex(pd.to_datetime(df['列A']))
データフレームの中に日付データと文字列があるか判定する	df.isin([value, value2])
句読点文字を全部求める	string.punctuation
散布図に三角マーカーを使う	plt.scatter(データ列x, データ列y, marker='^')
多次元データをMSDとして濃く次元に次元削減する	sklearn.manifold.MSD(n_components=二).fit_transform(多次元データ)
option: セパレータを文字列にする	sep = s
正則化付き単回帰分析の準備をする	model = sklearn.linear_model.ElasticNet()
K最近傍法で回帰分析を行う	model = sklearn.neighbors.KNeighborsRegressor(n_neighbors=5)
ベクトルの型	aArray.dtype()
ライトグレー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='lightgrey')
散布図に下三角マーカーを使う	plt.plot(データ列x, データ列y, marker='v')
ダークスラテグレー色としてヒストグラムを描画する	plt.hist(データ列, color='darkslategray')
データフレームの統計量	df.describe()
option: グラフの色をグレーに設定する	color = 'grey'
ライトスチールブルー色で横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightsteelblue')
データ列の推移を折れ線グラフにする	plt.plot(range(len(データ列)), データ列)
ファイルのファイル名	os.path.basename(filepath)
縦棒グラフの色をナバホホワイトにする	plt.bar(データ列x, データ列y, color='navajowhite')
中央値でカラムの欠損値を置き換える	df['列A'].fillna(df['列A'].median())
欠損値がある行をドロップしてみる	df.dropna()
文字列をコロンで分割して、文字列リストに変換する	s.split(':')
データフレームの選択したカラムの欠損値をxに設定する	df[['列A', '列B']].fillna(x)
リストとデータ列の散布図を描画してマーカーをクロスに設定する	plt.plot(データ列x, データ列y, marker='x')
棒グラフをオリーブ色で描画する	plt.bar(データ列x, データ列y, color='olive')
棒グラフをライトグリーン色で描画する	plt.bar(データ列x, データ列y, color='lightseagreen')
辞書のキーを列挙する	aDict.keys()
グラフにx=0の点線を付ける	plt.axvline(x=0, linestyle='dotted')
option: フォントの色をディムグレーに設定する	color = 'dimgray'
ミディアムシアグリーン色のヒストグラムを描画する	plt.hist(データ列, color='mediumseagreen')
データフレームからランダムにn行を抽出する	df.sample(n)
データフレームをインデックスをキーにしてソートする	df.sort_index()
散布図にダイアモンドマーカーを用いる	plt.scatter(データ列x, データ列y, marker='D')
データフレームの一部の列の相関行列を計算する	df[['列A', '列B']].corr()
option: マーカーの色をオリベドラブにする	markerfacecolor = 'olivedrab'
折れ線グラフの色をレベッカパープルに設定する	plt.plot(データ列x, データ列y, color='rebeccapurple')
文字列の開始位置と終了位置の間に部分文字列が含まれるか	s.find(sub, start, end) != -1
