文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
formatパターンの文字列を日付時刻に変換する	datetime.datetime.strptime(日付の書かれた文字列, format)
リストにリストを追加し、拡張する	aList.extend(aList2)
nわるn2	n / n2
文字列の開始位置以降が部分文字列で開始するかどうか調べる	s.startswith(sub, start)
本日が土曜日か調べる	datetime.datetime.today().weekday() == 5
散布図にカラーコードの丸マーカーを使う	plt.plot(xdata, ydata, marker='o', c=rgb)
黒い色差別ないグラフを描画する	plt.plot(xdata, ydata, linestyle='colorblind', color='k')
リストとリストについての散布図に黒い下三角マーカーを描画する	plt.plot(xdata, ydata, marker='v', c='k')
ヒストグラムを描画して、その色をディープスカイブルーに設定する	plt.hist(データ列, color='deepskyblue')
再帰エラーを未然に防ぐ	sys.setrecursionlimit(1000000)
＜オプション＞パープル色を使う	color = 'purple'
文字列が全て英数字か調べる	s.isalnum()
データフレームを複数の列によって並べ直して、NaNを先頭にする	df.sort_values(by=column, na_position='first')
折れ線グラフに線幅nの三角マーカーを描画する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
データフレームのリストカラムの中にある文字列と文字列の合計を数える	df[aList].isin([value, value2]).sum()
折れ線グラフの色をスラグレーに設定する	plt.plot(データ列, データ列2, color='slategrey')
グラフに補足を付ける	plt.legend()
文字列の開始位置からと終了位置までの間に部分文字列が含まれないか調べる	s.find(sub, start, end) == -1
折れ線グラフを描画して、その色をパウダーブルーに設定する	plt.plot(データ列, データ列2, color='powderblue')
ヒストグラムを描画して、その色をアイボリーに設定する	plt.hist(データ列, color='ivory')
タイムスタンプデータの年	aDatetime.year
ミディアムシアグリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='mediumseagreen')
実数の整数部	math.modf(x)[1]
日付時刻データをn分前に戻す	aDatetime - datetime.timedelta(minutes=n)
折れ線グラフの色をダークサーモンに設定する	plt.plot(データ列, データ列2, color='darksalmon')
nが奇数か調べる	n % 2 == 1
＜オプション＞バツマーカーを描画する	marker = 'x'
折れ線グラフの色を淡いピンク色に設定する	plt.plot(データ列, データ列2, color='lightpink')
ヒストグラムの色をハニーデューに設定する	plt.hist(データ列, color='honeydew')
＜オプション＞グラフの色をライトグレーに変更する	color = 'lightgray'
文字列中にひとつでも非小文字が含まれるか調べる	any(not c.islower() for c in s)
データフレームの列をワンホット・ベクトルに変換する	pd.get_dummies(df[column])
日付時刻データを浮動小数点数に変換する	aDatetime.timestamp()
散布図に赤色の三角マーカーを使う	plt.plot(xdata, ydata, marker='^', c='r')
折れ線グラフに青い下三角マーカーを描画する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='b')
自分自身をモジュールとして	sys.modules[__name__]
＜オプション＞ライトコーラル色を使う	color = 'lightcoral'
折れ線グラフに緑色の三角マーカーを描画する	plt.plot(データ列, データ列2, marker='^', markerfacecolor='g')
実数の余弦	math.cos(x)
nとn2の論理和	n | n2
nからn2までのスライス	slice(n, n2)
行列の行列積	np.matmul(aArray, aArray2)
折れ線グラフの左三角マーカーを黒くする	plt.plot(データ列, データ列2, marker='<', markerfacecolor='k')
実数のn乗	pow(x, n)
列を2回あわせた直積	itertools.product(iterable, repeat=2)
＜オプション＞紺碧にグラフの色を変更する	color = 'azure'
＜オプション＞四角マーカーを描画する	marker = 's'
＜オプション＞黄色色を使う	color = 'yellow'
整数nをバイト列に変換する	n.to_bytes((n.bit_length() + 7) // 8, byteorder='big')
ブラック色の線グラフを描画する	plt.plot(データ列, データ列2, color='black')
＜オプション＞ポイントマーカーを加える	marker = '.'
折れ線グラフに丸マーカーを使う	plt.plot(データ列, データ列2, marker='o')
オプションで、標準エラーを使う	file = sys.stderr
0からnまでの整数列	list(range(n+1))
グラフのカラーパレットをpalleteNameで指定する	sns.set(pallete=palleteName)
二つの文字列をスラッシュで区切ってプリントする	print(value, value2, sep='/')
日付データをn秒前に戻す	aDate - datetime.timedelta(seconds=n)
CSVファイルからデータフレームを読み込む	pd.read_csv(filename, sep=',')
タプルをナンバリングする	enumerate(aTuple)
現在の時間数	datetime.date.today().hour
ヒストグラムを描画して、その色をグレーにセットする	plt.hist(データ列, color='gray')
カラムの中に日付データが含まれるかどうか	ds.isin([value])
双方向キューの大きさを求める	len(deq)
＜オプション＞データ型を指定する	dtype = np.int
リストを中央値でビン分割する	pd.qcut(aList, 2)
カウンタの項目数	len(aCounter)
＜オプション＞複数行に対応する	flag = re.MULTILINE
折れ線グラフを描画して、その色をダークオーキッドに設定する	plt.plot(データ列, データ列2, color='darkorchid')
日付時刻データにn時間分、加算する	aDatetime + datetime.timedelta(hours=n)
線グラフを描画して、色をネイビーに設定する	plt.plot(データ列, データ列2, color='navy')
ヒストグラムの色をダークシアグリーンに設定する	plt.hist(データ列, color='darkseagreen')
イテラブルのそれぞれを関数でフィルタする	map(func, iterable)
ヒストグラムを描画して、その色をマゼンタに設定する	plt.hist(データ列, color='magenta')
ファイルを文字コードtextでオープンする]	open(filepath, encoding=text)
データフレームから型の列を抽出する	df.select_dtypes(ty)
折れ線グラフを描画して、その色をデピンクに設定する	plt.plot(データ列, データ列2, color='deeppink')
散布図に赤い下三角マーカーを使う	plt.plot(xdata, ydata, marker='v', c='r')
折れ線グラフの三角マーカーの線幅をnに設定する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
ラベンダー色のヒストグラムを描画する	plt.hist(データ列, color='lavender')
縦棒グラフを描画して、中央寄せする	plt.bar(ラベル列, データ列, align='center')
ダークシアグリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkseagreen')
暗いグラフを配列と数列で描画してその線幅をnに変更する	plt.plot(xdata, ydata, linestyle='dark', color=rgb)
オブジェクトがプロパティを持つか調べる	hasattr(obj, プロパティ名)
二つのデータフレームを横方向にマージする	pd.merge(df, df2)
アクアマリン色の線グラフを描画する	plt.plot(データ列, データ列2, color='aquamarine')
＜オプション＞グラフの色をライトコーラルに設定する	color = 'lightcoral'
year年の日付	datetime.date(year=year, month=1, day=1)
行列の最小値	np.min(aArray)
ファイルをベース名と拡張子に分割する	os.path.splitext(filepath)
明るい色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='bright')
紺色のヒストグラムを描画する	plt.hist(データ列, color='darkblue')
標準入力を	sys.stdin
＜オプション＞グラフの色をフクシアに設定する	color = 'fuchsia'
データフレームをJSONLファイルに保存する	df.to_csv(filename, sep='\t')
データフレームのカラムの中にある文字列の合計を数える	df[col].isin([value]).sum()
ヒストグラムの色をシスルに設定する	plt.hist(データ列, color='thistle')
ヒストグラムを描画して、その色をミディアムバイオレットレッドに変更する	plt.hist(データ列, color='mediumvioletred')
リストとリストについての散布図に赤い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', c='r')
データフレームのリストカラムの欠損値を最小値で埋める	df[aList].fillna(df[aList].min())
列をキーにして二つのデータフレームを外部結合する	pd.merge(df, df2, on=column, how='outer')
黄色いヒストグラムを描画する	plt.hist(データ列, color='y')
データフレームのカラムの値が欠損値か調べる	df[col].isna()
ヒストグラムを描画して、色をダークオレンジに設定する	plt.hist(データ列, color='darkorange')
既存のファイルを文字コードtextで追加できるようにオープンする]	open(filepath, mode='a', encoding=text)
列の各要素を関数でフィルタする	filter(func, iterable)
文字列中の正規表現を新しい文字列で置き換える	re.sub(pattern, newsub, s)
＜オプション＞白色を使う	color = 'white'
コーンフラワーブルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='cornflowerblue')
ヒストグラムの色をフローラルホワイトに設定する	plt.hist(データ列, color='floralwhite')
ヒストグラムの色をミディアムオーキッドに設定する	plt.hist(データ列, color='mediumorchid')
インディアンレッド色の線グラフを描画する	plt.plot(データ列, データ列2, color='indianred')
＜オプション＞淡いピンク色を使用する	color = 'lightpink'
ヒストグラムの色をパウダーブルーに設定する	plt.hist(データ列, color='powderblue')
オブジェクトをイテラブルに変換する	iter(obj)
＜オプション＞改行コードを動作環境依存に設定する	newline = None
実数を万の位で四捨五入する	round(x, -4)
折れ線グラフの色をライトスレイグレーに設定する	plt.plot(データ列, データ列2, color='lightslategray')
有理数を分母の最大値を指定して近似する	q.limit_denominator(max_denominator=1000000)
データフレームのカラムの中央値	df[col].median()
ヒストグラムの色をスプリンググリーンに設定する	plt.hist(データ列, color='springgreen')
追加できるように既存のファイルをUTF8でオープンする]	open(filepath, mode='a', encoding='utf-8')
文字列内にひとつでもアスキー文字が含まれるか調べる	any(c.isascii() for c in s)
リストとリストについての散布図にポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.')
データフレームをグループ化し、それぞれの列に対し平均値を計算する	df.groupby(column)[column2].mean()
データフレームのリスト列の相関行列をヒートマップで描画する	sns.heatmap(df[aList].corr())
プラットホームの名前	sys.platform
整数nを八進表現に変換する	oct(n)
文字列を空白で区切って、文字列リストに変換する	s.split()
折れ線グラフを描画して、その色をミスティローズに設定する	plt.plot(データ列, データ列2, color='mistyrose')
整数nを十六進表現に変換する	hex(n)
スラグレー色の線グラフを描画する	plt.plot(データ列, データ列2, color='slategrey')
リストをパステル調の色のヒストグラムでプロットする	plt.hist(xdata, color='pastel')
配列とリストの黒色のパステル調のグラフを描画する	plt.plot(xdata, ydata, linestyle='pastel', color='k')
文字列の長さ	len(s)
ファイルから1文字、読み込む	f.read(1)
ヒストグラムを描画して、半透明ににする	plt.hist(データ列, alpha=0.5)
線グラフの色をダークグレーに指定する	plt.plot(データ列, データ列2, color='darkgrey')
リストをnからナンバリングする	enumerate(aList, start=n)
日付時刻データにn週間分、加算する	aDatetime + datetime.timedelta(weeks=n)
二次元リストを転置する	[list(x) for x in list(zip(*aList))]
ヒストグラムの色をライトシアンに設定する	plt.hist(データ列, color='lightcyan')
配列とデータ列について黒い淡いを描画する	plt.plot(xdata, ydata, linestyle='muted', color='k')
＜オプション＞８ビット整数型を使う	dtype = np.int8
データフレームからカテゴリデータの列を抽出する	df.select_dtypes('object')
折れ線グラフを描画して、その色をプラムに設定する	plt.plot(データ列, データ列2, color='plum')
濃いグラフの色を黒にする	plt.plot(xdata, ydata, linestyle='deep', color='k')
リストとリストについて散布図を描画して、マーカーの色をパステル調のに設定する	plt.plot(xdata, ydata, c='pastel')
赤い四角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='s', c='r')
パステル調のグラフの色を黒にする	plt.plot(xdata, ydata, linestyle='pastel', color='k')
リストとリストについて散布図を描画し、、マーカーの色を色差別ないに設定する	plt.plot(xdata, ydata, c='colorblind')
折れ線グラフの色をダークオレンジに設定する	plt.plot(データ列, データ列2, color='darkorange')
＜オプション＞ミッドナイトブルー色を使う	color = 'midnightblue'
データフレームの値は欠損値	df.isna()
リストとリストについて散布図を描画して、文字列という凡例用のラベルを付ける	plt.scatter(xdata, xdata, label=s)
折れ線グラフを描画して、その色をダークスレートブルーに設定する	plt.plot(データ列, データ列2, color='darkslateblue')
浮動小数点数を浮動小数点数で割って、小数点以下を切り捨てる	x // y
リストとリストについての散布図を色差別ない色で描画する	plt.plot(xdata, ydata, c='colorblind')
フローラルホワイト色のヒストグラムを描画する	plt.hist(データ列, color='floralwhite')
文字列を隔離する	sys.intern(s)
文字列の先頭で正規表現に大文字・小文字を無視してマッチするか見る	re.match(pattern, s, flags=re.IGNORECASE)
データフレームの分散	df.var()
散布図をパステル調の色のマーカーとして重なりを見やすく描画する	plt.plot(xdata, ydata, c='pastel', alpha=0.5)
文字列を走査し、正規表現に複数行対応としてマッチするか見る	re.search(pattern, s, flags=re.MULTILINE)
折れ線グラフを描画して、その色をターコイズに設定する	plt.plot(データ列, データ列2, color='turquoise')
タブ区切りのファイルからデータフレームを読む	pd.read_csv(filename, sep='\t', encoding='utf-8')
黒いポイントマーカーで散布図をプロットする	plt.plot(xdata, ydata, marker='.', c='k')
浮動小数点数の最大値	sys.float_info.max
グラフにy=0の点線を付ける	plt.axhline(y=0, linestyle='dotted')
配列を中央値でビニングする	pd.qcut(aArray, 2)
ファイルを書き込みモードでオープンする]	open(filepath, mode='w')
xの小数点以下'3'桁までの文字列に変換する	':.3f'.format(x)
モジュールを検索するパス	sys.path
＜オプション＞昇順にする	ascending = True
折れ線グラフの色をライトゴールドロディイエローに設定する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
データフレームの欠損値を直後の値で埋める	df.fillna(method='bfill')
連立方程式を解く	sympy.solve([e, e2])
＜オプション＞グラフの種類を一点鎖線に設定する	linestyle = 'dashbot'
折れ線グラフを描画してその色をフォレストグリーンに設定する	plt.plot(データ列, データ列2, color='forestgreen')
文字列中からパターンにケースを無視してマッチする位置を探す	re.search(pattern, s, flags=re.IGNORECASE)
＜オプション＞色をダークシアグリーンにセットする	color = 'darkseagreen'
データフレームの中にある文字列と文字列の合計を数える	df.isin([value, value2]).sum()
折れ線グラフを描画して、その色をコーンズシルクに設定する	plt.plot(データ列, データ列2, color='cornsilk')
nをn2で割った余り	n % n2
明るいグラフの線幅をnに設定する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
データ列が正規分布からどの程度、尖っているか見る	ds.skew()
データフレームのカラムの最頻値	df[col].mode()
＜オプション＞先頭のカラムをインデックスに設定する	index_col = 0
列をカウントしてカウンタから引く	aCounter.subtract(iterable)
ヒストグラムの色をミントクリームに設定する	plt.hist(データ列, color='mintcream')
ベストな位置に凡例を描画する	plt.legend(loc='best')
JSONファイルのファイル入力を辞書に変換する	json.load(fin)
三整数の最小公倍数	math.lcm(n, n2, n3)
データフレームの未入力値を50パーセンタイルで置換する	df.fillna(df.median())
折れ線グラフを描画して、その色をライトゴールドロディイエローに設定する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
サブセットかどうか確認する	aSet.issubset(aSet2)
プロットのサイズを横width縦heightに変更する	plt.figure(figsize=(width, height))
日付データをn時間前に戻す	aDate - datetime.timedelta(hours=n)
ヒストグラムの色をナバホホワイトに設定する	plt.hist(データ列, color='navajowhite')
ゴーストホワイト色のヒストグラムを描画する	plt.hist(データ列, color='ghostwhite')
イテラブルのそれぞれを関数でフィルタする	filter(func, iterable)
ファイルから書き込みストリームをオープンして]fとする	f = open(filepath, mode='w')
二つの集合の共通要素のみに更新する	aSet.intersection_update(aSet2)
ゴールド色のヒストグラムを描画する	plt.hist(データ列, color='gold')
文字列がリストに含まれるか調べる	element in aList
折れ線グラフを描画して、その色をダークグレーに設定する	plt.plot(データ列, データ列2, color='darkgrey')
TSVファイルからデータフレームを読み込む	pd.read_csv(filename, sep='\t')
イテラブルをカウントして、カウンタを更新する	aCounter.update(iterable)
データフレームを'A'列によってによって降順にソートする	df.sort_values(by='A', ascending=False)
標準入力から1行だけ読み込んで、改行を取り除く	sys.stdin.readline().rstrip()
折れ線グラフに黄色い右三角マーカーを描画する	plt.plot(データ列, データ列2, marker='>', markerfacecolor='y')
データ列の中にと文字列がいくつあるかカウントする	ds.isin([value, value2]).sum()
リストとリストについて散布図を描画して、マーカーを四角に設定する	plt.plot(xdata, ydata, marker='s')
ヒストグラムの色をライトグリーンに指定する	plt.hist(データ列, color='lightgreen')
ゼロ埋めした複素数型の行列	np.zeros(要素数, dtype=bool)
クロスマーカーを用いて散布図を描く	plt.plot(xdata, ydata, marker='x')
文字列を最後の部分文字列で二分し、前半の文字列を使う	s.rpartition(sub)[0]
横棒グラフの幅をxに設定する	plt.barh(ラベル列, データ列, width=x)
トマト色のヒストグラムを描画する	plt.hist(データ列, color='tomato')
year年を日付に変換する	datetime.date(year=year, month=1, day=1)
リストとリストについて相関を可視化する	plt.scatter(xdata, ydata)
データフレームの数値をまとめて小数点以下n桁で丸める	df.round(n)
データフレームのカラムの中にある文字列と文字列の合計を数える	df[col].isin([value, value2]).sum()
辞書の全項目をクリアする	aDict.clear()
保存するCSVファイルの小数点以下の桁数を設定する	df.to_csv(filename, float_format='%.3f')
ヒストグラムの色を白くする	plt.hist(データ列, color='w')
実数を小数点以下で丸める	round(x, n)
折れ線グラフの色をミディアムスプリンググリーンに設定する	plt.plot(データ列, データ列2, color='mediumspringgreen')
変数について数式の積分を求める	sympy.integrate(e, z)
複数のデータフレームを縦方向に連結する	pd.concat([df, df2, df3], axis=0)
キューのstart番目からend番目の部分要素を見る	collections.deque(itertools.islice(deq, start, end))
＜オプション＞オレンジレッド色を用いる	color = 'orangered'
折れ線グラフを描画して、その色をゲインズボロに設定する	plt.plot(データ列, データ列2, color='gainsboro')
折れ線グラフの色をターコイズに設定する	plt.plot(データ列, データ列2, color='turquoise')
列'A'と列'B'をキーとして二つのデータフレームを外部結合する	pd.merge(df, df2, left_on=column, right_on=column2, how='outer')
データフレームの列を破壊的に削除する	df.drop(column, axis=1, inplace=True)
折れ線グラフに緑色のダイアモンドマーカーを描画する	plt.plot(データ列, データ列2, marker='D', markerfacecolor='g')
偽	False
小麦色色の線グラフを描画する	plt.plot(データ列, データ列2, color='wheat')
＜オプション＞グラフの色をクリムゾンに設定する	color = 'crimson'
データフレームを複数の列によって小さい順にソートして、更新する	df.sort_values(by=column, ascending=True, inplace=True)
カデットブルー色のヒストグラムを描画する	plt.hist(データ列, color='cadetblue')
折れ線グラフに黄色い左三角マーカーを描画する	plt.plot(データ列, データ列2, marker='<', markerfacecolor='y')
ヒストグラムを描画して、その色をミントクリームに設定する	plt.hist(データ列, color='mintcream')
配列の最大値	np.max(aArray)
＜オプション＞グレー色を使う	color = 'gray'
リストとリストについての散布図を暗い色で描画する	plt.plot(xdata, ydata, c='dark')
ライトスチールブルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='lightsteelblue')
データフレームのカラムの要約統計量	df[col].describe()
実数の逆正接を求める	math.atan(x)
データフレームを10の位で丸める	df.round(-1)
文字列を部分文字列で二分し、後半の文字列を使う	s.partition(sub)[-1]
ダークオーキッド色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkorchid')
ファイルから追加ストリームをオープンして]、fとする	f = open(filepath, mode='a')
貝殻色のヒストグラムを描画する	plt.hist(データ列, color='seashell')
辞書をコピーする	aDict.copy()
データフレームの行を範囲指定して抽出する	df[start:end]
データフレームのカラムの平均値	df[col].mean()
データフレームのカラムの欠損値を直後の値で埋める	df[col].fillna(method='bfill')
折れ線グラフの色を紺碧に設定する	plt.plot(データ列, データ列2, color='azure')
リストを反転する	reversed(aList)
ヒストグラムの色をロイヤルブルーに設定する	plt.hist(データ列, color='royalblue')
データフレームの重複した行のみを抽出する	df[df.duplicated(keep=False)]
＜オプション＞星マーカーを使う	marker = '*'
タプルのn番目の	aTuple[n]
エクセルファイルからデータフレームを読み込む	pd.read_excel(filename)
明るいグラフの色をカラーコードに設定する	plt.plot(xdata, ydata, linestyle='bright', color=rgb)
＜オプション＞ライトグレー色を使う	color = 'lightgray'
暗い赤色のヒストグラムを描画する	plt.hist(データ列, color='darkred')
文字列の末尾	s[-1]
整数nをn2分の一にする	n //= n2
データフレームからn行、サンプリングする	df.sample(n)
グレー色のヒストグラムを描画する	plt.hist(データ列, color='gray')
データ列が正規分布からどの程度、歪んでいるか見る	ds.kurt()
項目名がマップ上で定義済みか判定する	key in aDict
日付データが日付データより前か調べる	aDate < aDate2
ヒストグラムを描画して、その色をブランチドアーモンドに設定する	plt.hist(データ列, color='blanchedalmond')
＜オプション＞シスル色を使う	color = 'thistle'
折れ線グラフの上三角マーカーの線幅をnに設定する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
リストとリストについての散布図に赤い左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', c='r')
データフレームのリスト列の標本標準偏差を計算する	df[aList].std()
10を底とする実数の対数	math.log10(x)
ヒストグラムを描画してその色をダークサーモンに変更する	plt.hist(データ列, color='darksalmon')
リストの先頭	aList[0]
データフレームを表示するとき、表示可能な最大列数を変更する	pd.set_option('display.max_columns', n)
リストとリストについての散布図にカラーコードのバツマーカーを描画する	plt.plot(xdata, ydata, marker='x', c=rgb)
データフレームの末尾	df.tail()
日付データと日付データの時間差を秒数で求める	(aDate - aDate2).total_seconds()//60
＜オプション＞丸マーカーを使う	marker = 'o'
データ列をビン分割する	pd.cut(ds, aList)
ミディアムアクアマリン色のヒストグラムを描画する	plt.hist(データ列, color='mediumaquamarine')
＜オプション＞ポイントマーカーを使う	marker = '.'
実数を文字列に変換する	str(x)
自然数個からk個取り出したときの順列の総数	math.perm(n, k)
セットが空集合か調べる	len(aSet) == 0
データ列の欠損値を中央値で埋める	ds.fillna(ds.median())
文字列を黄色にする	f'\033[33m{value}\033[0m'
が名前付きタプルかどうか調べる	hasattr(obj, '_asdict') and hasattr(obj, '_fields')
折れ線グラフにラベルを付ける	plt.plot(xdata, ydata, label=untitled)
ビン数nとして配列をビン分割する	pd.cut(aArray, n)
日付時刻データと日付時刻データの時間差を秒数で求める	(aDatetime - aDatetime2).total_seconds()//60
文字列の中のASCII限定として正規表現による全てのマッチを使う	re.findall(pattern, s, flags=re.ASCI)
nが3で割り切れるか調べる	n % 3 == 0
ヒストグラムの色をオールドレースに設定する	plt.hist(データ列, color='oldlace')
ヒストグラムを描画して、その色をターコイズに設定する	plt.hist(データ列, color='turquoise')
折れ線グラフを描画して、その色をロージーブラウンに設定する	plt.plot(データ列, データ列2, color='rosybrown')
ファイルからディレクトリ名取り出す	os.path.dirname(filepath)
ファイルを開いて]、バイナリ書き込みストリームを使う	open(filepath, mode='wb')
実数を実数で割って、切り捨てる	x // y
タイムスタンプデータがタイムスタンプデータより前か	aDatetime < aDatetime2
配列を等量で分割数nで分割する	pd.qcut(aArray, n)
折れ線グラフの色をミディアムスレートブルーに設定する	plt.plot(データ列, データ列2, color='mediumslateblue')
リストとリストについて散布図を描画して、マーカーの色を淡いに設定する	plt.plot(xdata, ydata, c='muted')
データ列を折れ線グラフに描画して、マーカーを左三角印にする	plt.plot(データ列, データ列2, marker='<')
集合から全ての要素を消す	aSet.clear()
タプルにキーワード引数で更新する	aDict.update(**kwargs)
折れ線グラフの色をイエローグリーンに設定する	plt.plot(データ列, データ列2, color='yellowgreen')
折れ線グラフを描画して、色をスラグレーに設定する	plt.plot(データ列, データ列2, color='slategray')
ヒストグラムの色をライトスチールブルーに設定する	plt.hist(データ列, color='lightsteelblue')
タプルの項目名と値を入れ替える	{v: k for k, v in aDict.items()}
ライトスレイグレー色のヒストグラムを描画する	plt.hist(データ列, color='lightslategrey')
＜オプション＞グラフの色をシーグリーンに設定する	color = 'seagreen'
行列の列ごとの標準偏差	np.std(aArray, axis=0)
折れ線グラフに大きさnの大バツマーカーを描画する	plt.plot(データ列, データ列2, marker='X', markersize=n)
折れ線グラフの色をミディアムバイオレットレッドに設定する	plt.plot(データ列, データ列2, color='mediumvioletred')
文字列TSVファイルからカンマ区切りのファイルをn番目の列をインデックスとして読む	pd.read_csv(filename, index_col=n)
0からNまでの配列	np.arange(N)
データフレームの標準偏差を計算する	df.std()
リストを逆順にする	aList[::-1]
ヒストグラムの色をライトスレイグレーに設定する	plt.hist(データ列, color='lightslategray')
＜オプション＞大バツマーカーを使う	marker = 'X'
折れ線グラフの右三角マーカーの線幅をnに設定する	plt.plot(データ列, データ列2, marker='>', markeredgewidth=n)
mathをインポートする	import math
データフレームの重複を見る	df.duplicated()
リストとリストで折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
折れ線グラフに青いポイントマーカーを描画する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='b')
ベクトルのスカラー倍	aArray * n
＜オプション＞グラフの色をゴールデンロッドに設定する	color = 'goldenrod'
カウンタの文字列一覧	aCounter.keys()
2つのオブジェクトは等しいかどうか	obj == obj2
カラーコードの右三角マーカーを散布図に使う	plt.plot(xdata, ydata, marker='>', c=rgb)
暗いグラフをリストとリストを用いて描画して、その線幅をnに指定する	plt.plot(xdata, ydata, linestyle='dark', color='r')
ヒストグラムを描画して、その色をライトスレイグレーに設定する	plt.hist(データ列, color='lightslategray')
正規分布で疑似乱数を生成する	random.normalvariate(mu=0.5, sigma=0.2)
ヒストグラムを描画して、その色をパパイヤウィップに変更する	plt.hist(データ列, color='papayawhip')
文字列リストを連結してひとつの文字列にする	''.join(aStringList)
イテラブルから両端キューを作る	collections.deque(iterable)
辞書をチェーンマップに変換する	collections.ChainMap(aDict)
句読点文字を全部使う	string.punctuation
リストとリストの折れ線グラフを文字列の色で描画する	plt.plot(xdata, ydata, color=s)
文字列をマゼンタにする	f'\033[35m{value}\033[0m'
ヒストグラムの色をシルバーに設定する	plt.hist(データ列, color='silver')
データフレームを'A'列によってまとめた表を使う	df.groupby('A')
グラフにy=0の点線をつける	plt.axhline(y=0, linestyle='dotted')
リストとリストについての散布図に赤い右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', c='r')
淡いの色を黒にする	plt.plot(xdata, ydata, linestyle='muted', color='k')
データフレームのリストカラムの欠損値を直後の値で埋める	df[aList].fillna(method='bfill')
ファイルからファイル名を使う	os.path.basename(filepath)
折れ線グラフを描画して、その色をアイボリーに設定する	plt.plot(データ列, データ列2, color='ivory')
列を行列にする	np.array(iterable)
折れ線グラフの色をオーキッドに設定する	plt.plot(データ列, データ列2, color='orchid')
実行時に標準出力がパイプか調べる	not sys.stdout.isatty()
文字列に漢字が使われているか調べる	re.search('[\u4E00-\u9FD0]', s)
配列の和	aArray + aArray2
文字列の中のASCII限定として正規表現による全てのマッチを求める	re.findall(pattern, s, flags=re.ASCI)
折れ線グラフの色をダークオリーブグリーンに設定する	plt.plot(データ列, データ列2, color='darkolivegreen')
オプションで、出力先を標準出力に設定する	file = sys.stdout
行列を2次元1列に変形する	aArray.reshape(-1, 1)
正規分布で疑似乱数を求める	random.normalvariate(mu=0.5, sigma=0.2)
データフレームを各列毎にグループ化して、列の標準偏差を計算する	df.groupby(column)[column2].std()
タン色のヒストグラムを描画する	plt.hist(データ列, color='tan')
ヒストグラムの色を赤くする	plt.hist(データ列, color='r')
リストの末尾のn要素を取り除く	aList[:-n]
リストとデータ列について散布図を描画し、マーカーの色を淡いに指定する	plt.plot(xdata, ydata, c='muted')
nからn2までの整数列	list(range(n, n2+1))
折れ線グラフに下三角マーカーを使う	plt.plot(データ列, データ列2, marker='v')
二つの文字列をコロンで区切ってプリントする	print(value, value2, sep=':')
シアン色の線グラフを描画する	plt.plot(データ列, データ列2, color='cyan')
折れ線グラフを描画して、その色をブルーバイオレットに設定する	plt.plot(データ列, データ列2, color='blueviolet')
＜オプション＞グラフの色をグレーに変更する	color = 'gray'
明るいをプロットして、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='bright', color='r')
nとn2が等しいか調べる	n == n2
日付時刻データと日付時刻データの時間差が何分か知る	(aDatetime - aDatetime2).total_seconds()//60
カウンタの最頻出な文字列	aCounter.most_common()[0]
ヒストグラムを描画して、その色をダークグリーンに設定する	plt.hist(データ列, color='darkgreen')
リストとリストについての散布図に四角マーカーを描画する	plt.plot(xdata, ydata, marker='s')
データフレームを'A'列によって降順に破壊的にソートする	df.sort_values(by='A', ascending=False, inplace=True)
リストとリストについて散布図を描画する	plt.scatter(xdata, ydata)
＜オプション＞グラフの色をライトイエローに設定する	color = 'lightyellow'
データフレームを各列毎にグループ化して、列の分散を求める	df.groupby(column)[column2].var()
nが5の倍数か調べる	n % 5 == 0
sinを求める	math.sin(x)
ゼロ埋めされたブール型の配列	np.zeros(要素数, dtype=np.int32)
ヒストグラムの色をフォレストグリーンに設定する	plt.hist(データ列, color='forestgreen')
ヒストグラムの色をミディアムアクアマリンに設定する	plt.hist(データ列, color='mediumaquamarine')
追加モードを使ってファイルパスを開いて]、fとする	f = open(filepath, mode='a')
線グラフの色をプラムに変更する	plt.plot(データ列, データ列2, color='plum')
nがn2で割り切れるか調べる	n % n2 == 0
集合から任意の要素を取り出す	aSet.pop()
オーキッド色の線グラフを描画する	plt.plot(データ列, データ列2, color='orchid')
実数が負の数か調べる	x < 0
