エラーメッセージ<tab>コード	原因<tab>解決策
"ValueError: Expected 2D array, got 1D array instead:
array=[6.575 6.421 7.185 6.998 7.147 6.43  6.012 6.172 5.631 6.004 6.377 6.009
 5.889 5.949 6.096 5.834 5.935 5.99  5.456 5.727 5.57  5.965 6.142 5.813
 5.924 5.599 5.813 6.047 6.495 6.674 5.713 6.072 5.95  5.701 6.096 5.933
 5.841 5.85  5.966 6.595 7.024 6.77  6.169 6.211 6.069 5.682 5.786 6.03
 5.399 5.602 5.963 6.115 6.511 5.998 5.888 7.249 6.383 6.816 6.145 5.927
 5.741 5.966 6.456 6.762 7.104 6.29  5.787 5.878 5.594 5.885 6.417 5.961
 6.065 6.245 6.273 6.286 6.279 6.14  6.232 5.874 6.727 6.619 6.302 6.167
 6.389 6.63  6.015 6.121 7.007 7.079 6.417 6.405 6.442 6.211 6.249 6.625
 6.163 8.069 7.82  7.416 6.727 6.781 6.405 6.137 6.167 5.851 5.836 6.127
 6.474 6.229 6.195 6.715 5.913 6.092 6.254 5.928 6.176 6.021 5.872 5.731
 5.87  6.004 5.961 5.856 5.879 5.986 5.613 5.693 6.431 5.637 6.458 6.326
 6.372 5.822 5.757 6.335 5.942 6.454 5.857 6.151 6.174 5.019 5.403 5.468
 4.903 6.13  5.628 4.926 5.186 5.597 6.122 5.404 5.012 5.709 6.129 6.152
 5.272 6.943 6.066 6.51  6.25  7.489 7.802 8.375 5.854 6.101 7.929 5.877
 6.319 6.402 5.875 5.88  5.572 6.416 5.859 6.546 6.02  6.315 6.86  6.98
 7.765 6.144 7.155 6.563 5.604 6.153 7.831 6.782 6.556 7.185 6.951 6.739
 7.178 6.8   6.604 7.875 7.287 7.107 7.274 6.975 7.135 6.162 7.61  7.853
 8.034 5.891 6.326 5.783 6.064 5.344 5.96  5.404 5.807 6.375 5.412 6.182
 5.888 6.642 5.951 6.373 6.951 6.164 6.879 6.618 8.266 8.725 8.04  7.163
 7.686 6.552 5.981 7.412 8.337 8.247 6.726 6.086 6.631 7.358 6.481 6.606
 6.897 6.095 6.358 6.393 5.593 5.605 6.108 6.226 6.433 6.718 6.487 6.438
 6.957 8.259 6.108 5.876 7.454 8.704 7.333 6.842 7.203 7.52  8.398 7.327
 7.206 5.56  7.014 8.297 7.47  5.92  5.856 6.24  6.538 7.691 6.758 6.854
 7.267 6.826 6.482 6.812 7.82  6.968 7.645 7.923 7.088 6.453 6.23  6.209
 6.315 6.565 6.861 7.148 6.63  6.127 6.009 6.678 6.549 5.79  6.345 7.041
 6.871 6.59  6.495 6.982 7.236 6.616 7.42  6.849 6.635 5.972 4.973 6.122
 6.023 6.266 6.567 5.705 5.914 5.782 6.382 6.113 6.426 6.376 6.041 5.708
 6.415 6.431 6.312 6.083 5.868 6.333 6.144 5.706 6.031 6.316 6.31  6.037
 5.869 5.895 6.059 5.985 5.968 7.241 6.54  6.696 6.874 6.014 5.898 6.516
 6.635 6.939 6.49  6.579 5.884 6.728 5.663 5.936 6.212 6.395 6.127 6.112
 6.398 6.251 5.362 5.803 8.78  3.561 4.963 3.863 4.97  6.683 7.016 6.216
 5.875 4.906 4.138 7.313 6.649 6.794 6.38  6.223 6.968 6.545 5.536 5.52
 4.368 5.277 4.652 5.    4.88  5.39  5.713 6.051 5.036 6.193 5.887 6.471
 6.405 5.747 5.453 5.852 5.987 6.343 6.404 5.349 5.531 5.683 4.138 5.608
 5.617 6.852 5.757 6.657 4.628 5.155 4.519 6.434 6.782 5.304 5.957 6.824
 6.411 6.006 5.648 6.103 5.565 5.896 5.837 6.202 6.193 6.38  6.348 6.833
 6.425 6.436 6.208 6.629 6.461 6.152 5.935 5.627 5.818 6.406 6.219 6.485
 5.854 6.459 6.341 6.251 6.185 6.417 6.749 6.655 6.297 7.393 6.728 6.525
 5.976 5.936 6.301 6.081 6.701 6.376 6.317 6.513 6.209 5.759 5.952 6.003
 5.926 5.713 6.167 6.229 6.437 6.98  5.427 6.162 6.484 5.304 6.185 6.229
 6.242 6.75  7.061 5.762 5.871 6.312 6.114 5.905 5.454 5.414 5.093 5.983
 5.983 5.707 5.926 5.67  5.39  5.794 6.019 5.569 6.027 6.593 6.12  6.976
 6.794 6.03 ].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
AttributeError: 'function' object has no attribute 'split'<tab>A,B,C=map(int,input.split())	inputの後ろに()がない<tab>map(型,input(),split())に直す
NameError: name 'y_train' is not defined<tab>pred_sub = y_train - pred	変数y_trainが見つからない<tab>y_train...のように定義する
NameError: name 'soeted' is not defined<tab>x = soeted(list)	sortedのスペルが違う<tab>sortedに直す
"ValueError: Expected 2D array, got 1D array instead:
array=[-1].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(x, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
NameError: name 'pd' is not defined<tab>df = pd.read_csv('boston.csv')	pandasをpdとしてimportしていない<tab>import pandas as pd する
TypeError: '(['緑地'], ['犯罪率'])' is an invalid key<tab>X=df[[column],[b]]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name 'df_uid_mean1_c1' is not defined<tab>df_uid_mean1_c1	データフレームdf_uid_mean1_c1が見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"ValueError: Expected 2D array, got 1D array instead:
array=[404.40963855 404.40963855 404.40963855 404.40963855 404.40963855
 404.40963855 404.40963855 404.40963855 404.40963855 404.40963855
 404.40963855 404.40963855 404.40963855 404.40963855 404.40963855
 404.40963855 404.40963855 404.40963855 404.40963855 404.40963855
 404.40963855 404.40963855 404.40963855 404.40963855 404.40963855
 404.40963855 404.40963855 404.40963855 404.         462.
 435.         440.         376.         450.         415.
 430.         375.         447.         426.         400.
 418.         415.         445.         450.         448.
 460.         445.         430.         420.         435.
 425.         423.         415.         438.         432.
 416.         426.         405.         426.         410.
 408.         396.         384.         436.         428.
 407.         413.         393.         409.         396.
 385.         397.         370.         372.         360.
 382.         400.         392.         372.         350.
 407.         392.         315.         404.40963855 349.
 377.         380.         390.         350.         387.
 353.         376.         362.         404.40963855 340.
 370.         330.         333.         325.         375.
 382.         340.         360.         404.40963855 342.
 368.         415.         420.         415.         405.
 434.         400.         428.         430.         403.
 404.40963855 406.         425.         430.         428.
 400.         430.         423.         414.         438.
 404.40963855 420.         418.         424.         405.
 430.         417.         426.         413.         440.
 404.40963855 440.         427.         426.         430.
 407.         421.         430.         420.         414.
 404.40963855 435.         362.         363.         412.
 432.         354.         370.         388.         386.
 404.40963855 418.         324.         434.         418.
 401.         409.         355.         410.         404.40963855
 432.         449.         441.         386.         380.
 410.         400.         410.         415.         404.40963855
 411.         400.         396.         385.         423.
 405.         404.40963855 412.         400.         410.
 396.         398.         380.         440.         408.
 405.         380.         385.         460.         450.
 385.         404.40963855 438.         430.         395.
 400.         395.         408.         394.         404.40963855
 404.         398.        ].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
AttributeError: 'DataFrame' object has no attribute 'dtype'<tab>a.dtype	データフレーム型aにはdtypeを使用できない<tab>aを文字列にする
TypeError: unsupported operand type(s) for -: 'int' and 'str'<tab>r=str(0*(4-N))	int型とstr型の減算はできない<tab>Nの型を数値型にする
"KeyError: ""['h_l'] not in index""<tab>X = df_train[['year', 'month', 'day', 'week', 'soldout', 'kcal', 'event', 'payday', 'weather','h_l']]"	データフレームdf_trainに列'h_l'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'r2_scpre' is not defined<tab>r2 = r2_scpre(y, y_pred)	scoreのスペルが違う<tab>scoreに直す
NameError: name 'recall' is not defined<tab>print(f'再現率 {recall:.5f}')	変数recallが見つからない<tab>recall=...のように定義する
FileNotFoundError: [Errno 2] No such file or directory: 'my-drive/nuna-chan/train_Numa_print.csv'<tab>X_train_numa_p = pd.read_csv('my-drive/nuna-chan/train_Numa_print.csv')	my-drive/nuna-chan/train_Numa_print.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name '_pred' is not defined<tab>print(_pred)	変数_predが見つからない<tab>_pred=...のように定義する
TypeError: '>' not supported between instances of 'int' and 'str'<tab>if K>S:	int型とstr型で比較演算子は使えない<tab>型を揃えて比較する
"ValueError: Expected 2D array, got 1D array instead:
array=[0      0.00632
 1      0.02731
 2      0.02729
 3      0.03237
 4      0.06905
         ...
 501    0.06263
 502    0.04527
 503    0.06076
 504    0.10959
 505    0.04741
 Name: 犯罪率, Length: 506, dtype: float64 list(['犯罪率'])].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
ValueError: Number of labels=152 does not match number of samples=354<tab>model.fit(X_train, y_train)	X_trainとy_trainのデータの個数が異なる<tab>X_trainとy_trainの個数を揃える
NameError: name 'prrint' is not defined<tab>prrint(X.shape)	printのスペルが違う<tab>printに直す
NameError: name 'Series' is not defined<tab>for key in Series:	Seriesが見つからない<tab>Seriesを定義する
ValueError: invalid literal for int() with base 10: 'p'<tab>Num_list.append(int(Data_list[i]))	文字列'p'はint型に変換できない<tab>(int(Data_list[i]))を(Data_list[i])に直す
ModuleNotFoundError: No module named 'janome'<tab>from janome.tokenizer import Tokenizer	janomeという名前のモジュールが見つからない<tab>モジュールをimportする、もしくはモジュールの名前を確認する
AttributeError: 'list' object has no attribute 'indet'<tab>i=a.indet(max(a))	indexのスペルが違う<tab>indetをindexに直す
"FileNotFoundError: [Errno 2] No such file or directory: 'Users:/shion/Desktop/OJT/numa-chan/train_Numa_print.csv'<tab>X_train_numa_p = pd.read_csv(""Users:/shion/Desktop/OJT/numa-chan/train_Numa_print.csv"")"	Users:/shion/Desktop/OJT/numa-chan/train_Numa_print.csv'が見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name 'TheilSenRegresso' is not defined<tab>model = TheilSenRegresso()	'TheilSenRegresso'のスペルが違う<tab>TheilSenRegressorする
NameError: name 'N' is not defined<tab>print(N)	変数Nが見つからない<tab>N=...のように定義する
AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_importences_'<tab>model.feature_importences_	importances_のスペルが違う<tab>importences_をimportances_に直す
TypeError: '(['犯罪率'], ['緑地'])' is an invalid key<tab>X = df[[column],[column1]] # 説明変数	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
ValueError: could not convert string to float: '厚切りイカフライ'<tab>model.fit(X, y)	文字列を数値に変えないと処理できない<tab>文字列を数値に変えるデータ前処理を行う
ImportError: cannot import name 'Pipeline' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)<tab>from sklearn.ensemble import Pipeline	import元が異なる<tab>from sklearn.pipeline import Pipelineでimportする
"NameError: name 'num1' is not defined<tab>round(""n"" ,num1)"	変数num1が見つからない<tab>num1=...のように定義する
AttributeError: 'list' object has no attribute 'sorted'<tab>b=a.sorted	sortedの使い方が違う<tab>sorted(a)のように書く
NameError: name 'B' is not defined<tab>B=str(B)	変数Bが見つからない<tab>B=...のように定義する
AttributeError: type object 'list' has no attribute 'input'<tab>x=list.input()	listの使い方が違う<tab>list(input())に直す
AttributeError: 'PathCollection' object has no property 'alph'<tab>plt.scatter(df['部屋数'], df['住宅価格'],alph=0.5)	alphaのスペルが違う<tab>alphをalphaに直す
NameError: name 'pirnt' is not defined<tab>pirnt(C*a)	printのスペルが違う<tab>printに直す
TypeError: replace() argument 1 must be str, not int<tab>print(s.replace(1, 9).replace(9, 1))	replaceは文字列を置換するときしか使えない<tab>引数を数値から文字列型に変換する
AttributeError: 'str' object has no attribute 'j'<tab>k_l.append([i.j])	リスト.にできない<tab>リストの中身は,を区切る
NameError: name 'cross_val_score' is not defined<tab>cross_val_score(モデル, X, y, cv=5, scoring='r2')	cross_val_scoreをimportしていない<tab>from sklearn.model_selection import cross_val_scoreする
ValueError: Found input variables with inconsistent numbers of samples: [83, 207]<tab>print('R2(テスト):', r2_score(y_test, y_pred))	y_testとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
ValueError: Found input variables with inconsistent numbers of samples: [506, 152]<tab>print('R2', r2_score(y, y_pred))	yとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
ValueError: invalid literal for int() with base 10: '3 4 9 0'<tab>k = int(input())	複数の入力データを読み込めない<tab>int(input())をmap(int,input().split())に直す
ValueError: invalid literal for int() with base 10: '3 4 5'<tab>A,B,C=map(int(input()))	'3 4 5'はint型に変換できない<tab>int(input())をmap(int,input().split())に直す
"KeyError: ""['datetie'] not found in axis""<tab>df.drop('datetie', axis=1, inplace=True)"	datetieはタイプミス<tab>datetimeに直す
NameError: name 'df_pr_name' is not defined<tab>X_train_pr_name, X_test_pr_name = train_test_split(df_pr_name,test_size = 0.3)	データフレームdf_pr_nameが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
TypeError: unsupported operand type(s) for %: 'range' and 'range'<tab>if B%A == 0:	A,Bがrange型になっている<tab>A, Bの型を数値型にする
"FileNotFoundError: [Errno 2] No such file or directory: ':/Users/shion/Desktop/OJT/numa-chan/train_Numa_print.csv'<tab>X_train_numa_p = pd.read_csv("":/Users/shion/Desktop/OJT/numa-chan/train_Numa_print.csv"")"	:/Users/shion/Desktop/OJT/numa-chan/train_Numa_print.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
ValueError: too many values to unpack (expected 2)<tab>S,T=str(input())	入力した空白区切りの文字列の個数が2個ではない<tab>入力を見直すか、コードの変数の数を入力に対応した数に変更する
TypeError: 'float' object cannot be interpreted as an integer<tab>for _ in range(num):	numはfloat型なため使用できない<tab>numの型を見直して、定義する
"KeyError: ""['rewarks'] not found in axis""<tab>df.drop('rewarks', axis=1, inplace=True)"	rewarksはタイプミス<tab>remarksに直す
NameError: name 'a2' is not defined<tab>max(a2)	変数a2が見つからない<tab>a2=...のように定義する
AttributeError: 'int' object has no attribute 'replace'<tab>print(s.replace(1, 9).replace(9, 1))	int型ではreplaceは使えない<tab>print(s.replace('1', '9').replace('9', '1')) に直す
"ValueError: Expected 2D array, got 1D array instead:
array=[ 4.09    4.9671  4.9671  6.0622  6.0622  6.0622  5.5605  5.9505  6.0821
  6.5921  6.3467  6.2267  5.4509  4.7075  4.4619  4.4986  4.4986  4.2579
  3.7965  3.7965  3.7979  4.0123  3.9769  4.0952  4.3996  4.4546  4.682
  4.4534  4.4547  4.239   4.233   4.175   3.99    3.7872  3.7598  3.3603
  3.3779  3.9342  3.8473  5.4011  5.4011  5.7209  5.7209  5.7209  5.7209
  5.1004  5.1004  5.6894  5.87    6.0877  6.8147  6.8147  6.8147  6.8147
  7.3197  8.6966  9.1876  8.3248  7.8148  6.932   7.2254  6.8185  7.2255
  7.9809  9.2229  6.6115  6.6115  6.498   6.498   6.498   5.2873  5.2873
  5.2873  5.2873  4.2515  4.5026  4.0522  4.0905  5.0141  4.5026  5.4007
  5.4007  5.4007  5.4007  4.7794  4.4377  4.4272  3.7476  3.4217  3.4145
  3.0923  3.0921  3.6659  3.6659  3.615   3.4952  3.4952  3.4952  3.4952
  3.4952  2.7778  2.8561  2.7147  2.7147  2.421   2.1069  2.211   2.1224
  2.4329  2.5451  2.7778  2.6775  2.3534  2.548   2.2565  2.4631  2.7301
  2.7474  2.4775  2.7592  2.2577  2.1974  2.0869  1.9444  2.0063  1.9929
  1.7572  1.7883  1.8125  1.9799  2.1185  2.271   2.3274  2.4699  2.346
  2.1107  1.9669  1.8498  1.6686  1.6687  1.6119  1.4394  1.3216  1.4118
  1.3459  1.4191  1.5166  1.4608  1.5296  1.5257  1.618   1.5916  1.6102
  1.6232  1.7494  1.7455  1.7364  1.8773  1.7573  1.7659  1.7984  1.9709
  2.0407  2.162   2.422   2.2834  2.0459  2.4259  2.1     2.2625  2.4259
  2.3887  2.5961  2.6463  2.7019  3.1323  3.5549  3.3175  2.9153  2.829
  2.741   2.5979  2.7006  2.847   2.9879  3.2797  3.1992  3.7886  4.5667
  4.5667  6.4798  6.4798  6.4798  6.2196  6.2196  5.6484  7.309   7.309
  7.309   7.6534  7.6534  6.27    6.27    5.118   5.118   3.9454  4.3549
  4.3549  4.2392  3.875   3.8771  3.665   3.6526  3.9454  3.5875  3.9454
  3.1121  3.4211  2.8893  3.3633  2.8617  3.048   3.2721  3.2721  2.8944
  2.8944  3.2157  3.2157  3.3751  3.3751  3.6715  3.6715  3.8384  3.6519
  3.6519  3.6519  4.148   4.148   6.1899  6.1899  6.3361  6.3361  7.0355
  7.0355  7.9549  7.9549  8.0555  8.0555  7.8265  7.8265  7.3967  7.3967
  8.9067  8.9067  9.2203  9.2203  6.3361  1.801   1.8946  2.0107  2.1121
  2.1398  2.2885  2.0788  1.9301  1.9865  2.1329  2.4216  2.872   3.9175
  4.429   4.429   3.9175  4.3665  4.0776  4.2673  4.7872  4.8628  4.1403
  4.1007  4.6947  5.2447  5.2119  5.885   7.3073  7.3073  9.0892  7.3172
  7.3172  7.3172  5.1167  5.1167  5.1167  5.5027  5.5027  5.9604  5.9604
  6.32    7.8278  7.8278  7.8278  5.4917  5.4917  5.4917  4.022   3.37
  3.0992  3.1827  3.3175  3.1025  2.5194  2.6403  2.834   3.2628  3.6023
  3.945   3.9986  4.0317  3.5325  4.0019  4.5404  4.5404  4.7211  4.7211
  4.7211  5.4159  5.4159  5.4159  5.2146  5.2146  5.8736  6.6407  6.6407
  6.4584  6.4584  5.9853  5.2311  5.615   4.8122  4.8122  4.8122  7.0379
  6.2669  5.7321  6.4654  8.0136  8.0136  8.5353  8.344   8.7921  8.7921
 10.7103 10.7103 12.1265 10.5857 10.5857  2.1222  2.5052  2.7227  2.5091
  2.5182  2.2955  2.1036  1.9047  1.9047  1.6132  1.7523  1.5106  1.3325
  1.3567  1.2024  1.1691  1.1296  1.1742  1.137   1.3163  1.3449  1.358
  1.3861  1.3861  1.4165  1.5192  1.5804  1.5331  1.4395  1.4261  1.4672
  1.5184  1.5895  1.7281  1.9265  2.1678  1.77    1.7912  1.7821  1.7257
  1.6768  1.6334  1.4896  1.5004  1.5888  1.5741  1.639   1.7028  1.6074
  1.4254  1.1781  1.2852  1.4547  1.4655  1.413   1.5275  1.5539  1.5894
  1.6582  1.8347  1.8195  1.6475  1.8026  1.794   1.8589  1.8746  1.9512
  2.0218  2.0635  1.9096  1.9976  1.8629  1.9356  1.9682  2.0527  2.0882
  2.2004  2.3158  2.2222  2.1247  2.0026  1.9142  1.8206  1.8172  1.8662
  2.0651  2.0048  1.9784  1.8956  1.9879  2.072   2.198   2.2616  2.185
  2.3236  2.3552  2.3682  2.4527  2.4961  2.4358  2.5806  2.7792  2.7831
  2.7175  2.5975  2.5671  2.7344  2.8016  2.9634  3.0665  2.8715  2.5403
  2.9084  2.8237  3.0334  3.0993  2.8965  2.5329  2.4298  2.206   2.3053
  2.1007  2.1705  1.9512  3.4242  3.3317  3.4106  4.0983  3.724   3.9917
  3.5459  3.1523  1.8209  1.7554  1.8226  1.8681  2.1099  2.3817  2.3817
  2.7986  2.7986  2.8927  2.4091  2.3999  2.4982  2.4786  2.2875  2.1675
  2.3889  2.505 ].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	"sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない
<tab>二重括弧をつけるか、reshape(-1,1)をつける"
"ValueError: Found input variables with inconsistent numbers of samples: [500, 152]<tab>print(""MSE: "", mean_squared_error(y, y_pred))"	yとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
AttributeError: 'Series' object has no attribute 'df_week'<tab>df['week'] = df['week'].fillna(df['week'].df_week)	.df_weekが違う<tab>.mean()などの数値の処理に関したメゾットにした方がいいかも。
TypeError: '<=' not supported between instances of 'str' and 'int'<tab>if X[-3]<=4:	str型とint型で比較演算子は使えない<tab>型を揃えて比較する
TypeError: dropna() got an unexpected keyword argument 'asix'<tab>df_uid_all = df_uid_all.dropna(asix=1)	axisのスペルが違う<tab>asixをaxisに直す
AttributeError: 'builtin_function_or_method' object has no attribute 'r2_score'<tab>r2 = max.r2_score(y, y_pred)	必要ないmaxが付いている<tab>max.r2_score(y,y_pred)をr2_score(y,y_pred)に直す
TypeError: 'str' object is not callable<tab>if S(2)==S(3) or S(4)==S(5):	文字列のindexは()で指定できない<tab>文字列[指定したindex]にする
NameError: name 'clumn' is not defined<tab>print(f'{clumn}決定係数(R2):', r2)	変数clumnが見つからない<tab>clumnを定義するまたはcolumnに直す
TypeError: must be real number, not function<tab>print(ceil(a))	mathモジュールを使っていない<tab>import mathして、math.ceil()と書く
TypeError: '<=' not supported between instances of 'int' and 'NoneType'<tab>if int(A) <= i <= int(B):	int型とNoneType型で比較演算子は使えない<tab>型を揃えて比較する
ValueError: invalid literal for int() with base 10: 'coder'<tab>a,b= map(int,input().split())	文字列'coder'はint型に変換できない<tab>map(int,input().split())をmap(input().split())に直す
KeyError: 'target'<tab>y = df['target']	データフレームdfに列'target'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: bad operand type for unary +: 'str'<tab>print(s[k-1],+'...')	文字列を連結する際に,がある<tab>print(文字列1+文字列2)のようにする
TypeError: '(['week'], ['weather'], ['kcal'])' is an invalid key<tab>X = df[['week'],['weather'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name 'string' is not defined<tab>A=string[1:]	stringが見つからない<tab>string=...のようにリスト型か文字列を定義する
TypeError: unsupported operand type(s) for /: 'str' and 'int'<tab>if X / 100 == 0:	Xが文字列型になっている<tab>Xの型を数値型にする
NameError: name 'SD' is not defined<tab>S[0],S[2] = S[2],SD[0]	SDはスペルミス<tab>リスト名を確認し、Sに直す
KeyError: ('犯罪率', '低所得率')<tab>X = df[column,'低所得率']  # ひとつ選ぶ	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: '<=' not supported between instances of 'int' and 'str'<tab>if 0<=N<10:	int型とstr型で比較演算子は使えない<tab>型を揃えて比較する
NameError: name 'model' is not defined<tab>y_train_pred= model.predict(X)	modelが見つからない<tab>model=...のように定義する
KeyError: 'kal'<tab>df['kal'].describe	データフレームdfに列'kal'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'c' is not defined<tab>a=ord(c)+N	変数cが見つからない<tab>c=...のように定義する
KeyError: 'neme'<tab>df.head(df['neme'])	データフレームdfに列'name'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: not enough values to unpack (expected 4, got 1)<tab>a,b,c,d = map(int, input().split())	入力した値を入れる変数は4個あるけど、実際には1個しか入力されていない<tab>入力を4個に増やすか、変数を1個に減らそう
"KeyError: ""None of [Index(['通勤時間', '教員'], dtype='object')] are in the [columns]""<tab>X = df[['通勤時間', '教員']]  # 説明変数"	データフレームdfに列'通勤時間', '教員'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
KeyError: ('kcal', 'temperature')<tab>X = df['kcal','temperature']  # 価格以外を全て説明変数に	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
FileNotFoundError: [Errno 2] No such file or directory: 'bento.csv'<tab>df = pd.read_csv('bento.csv')	bento.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name 'SVR' is not defined<tab>model = SVR(max_depth=depth)  # None 制限なし	SVRがimportされていない<tab>from sklearn.svm import SVRのようにimportする
AttributeError: 'str' object has no attribute 'append'<tab>ss.append(chr(a))	ssは文字列のためappendできない<tab>ssをリスト型にするまたは、ss+追加したい文字列にする
TypeError: __init__() got an unexpected keyword argument 'maxdeapth'<tab>model = DecisionTreeRegressor(maxdeapth=3)	maxdeapthはスペルミス<tab>max_depth=...に直す
TypeError: '>=' not supported between instances of 'str' and 'int'<tab>if X >=100:	str型とint型で比較演算子は使えない<tab>型を揃えて比較する
TypeError: hist() got multiple values for argument 'bins'<tab>plt.hist(df[column], df['G3'], bins=20)	引数が2つある<tab>plt.hist(df['G3'], bins=20) のように1つにする
NameError: name 'columns' is not defined<tab>columns	変数columnsが見つからない<tab>columns=...のように定義する
NameError: name 'r2_score' is not defined<tab>r2 = r2_score(y, y_pred)	scikit-learnの関数r2_scoreが見つからない<tab>from sklearn.metrics import r2_score する
ValueError: invalid literal for int() with base 10: 'B'<tab>N=int(input())	文字列''B'はint型に変換できない<tab>int(input())をinput()に直す
NameError: name 'df_uid_pr' is not defined<tab>df_uid_pr	データフレームdf_uid_prが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""['低所得理'] not in index""<tab>X = df[['低所得理', '資産税']]"	データフレームdfに列'低所得理'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""['資産'] not in index""<tab>X = df[['資産','築年']]"	データフレームdfに列'資産'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: __init__() got an unexpected keyword argument 'figsiza'<tab>plt.figure(figsiza = (6,6))	figureではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
KeyError: ('部屋数', '低所得')<tab>X = df['部屋数','低所得']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: '(['犯罪率'], '低所得率')' is an invalid key<tab>X = df[[column],'低所得率']  # ひとつ選ぶ	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
"ValueError: Expected 2D array, got 1D array instead:
array=[404 404 404 404 404 404 404 404 404 404 404 404 404 404 404 404 404 404
 404 404 404 404 404 404 404 404 404 404 404 462 435 440 376 450 415 430
 375 447 426 400 418 415 445 450 448 460 445 430 420 435 425 423 415 438
 432 416 426 405 426 410 408 396 384 436 428 407 413 393 409 396 385 397
 370 372 360 382 400 392 372 350 407 392 315 404 349 377 380 390 350 387
 353 376 362 404 340 370 330 333 325 375 382 340 360 404 342 368 415 420
 415 405 434 400 428 430 403 404 406 425 430 428 400 430 423 414 438 404
 420 418 424 405 430 417 426 413 440 404 440 427 426 430 407 421 430 420
 414 404 435 362 363 412 432 354 370 388 386 404 418 324 434 418 401 409
 355 410 404 432 449 441 386 380 410 400 410 415 404 411 400 396 385 423
 405 404 412 400 410 396 398 380 440 408 405 380 385 460 450 385 404 438
 430 395 400 395 408 394 404 404 398].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
"KeyError: ""['soldo'] not in index""<tab>X = df[['soldo','kcal','payday','temperature', 'weather_num','week_num', 'precipitation_num','event_num','remarks_num']]"	データフレームdfに列'soldo'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""['precipation'] not found in axis""<tab>df.drop('precipation', axis=1, inplace=True)"	precipationはタイプミス<tab>precipitationに直す
